"id","word","answer"
"1","What time is check-out","¿A qué hora es el registro de salida?"
"2","What time is breakfast served?","¿A qué hora se sirve el desayuno?"
"3","What time do I have to leave the room?","¿A qué hora tengo que dejar la habitación?"
"4","What is the wifi password please?","¿Cuál es la contraseña del wifi, por favor?"
"5","How much is the room?","¿Cuánto cuesta la habitación?"
"6","How much is the total bill?","¿Cuánto es la cuenta total?"
"7","Where is the ___","¿Dónde está ___?"
"8","Where is the restaurant?","¿Dónde está el restaurante?"
"9","Is breakfast included in the price?","¿El desayuno está incluido en el precio?"
"10","Is breakfast included","¿El desayuno está incluido?"
"11","Does the hotel have a pool?","¿El hotel tiene piscina?"
"12","Is the pool open?","¿Está abierta la piscina?"
"13","Are there good restaurants near here?","¿Hay buenos restaurantes cerca de aquí?"
"14","Are there good restaurants near the hotel?","¿Hay buenos restaurantes cerca del hotel?"
"15","Is there free wifi in the room?","¿Hay wifi gratis en la habitación?"
"16","Can I have the wifi password.","¿Me puede dar la contraseña del wifi?"
"17","May I have the key?","¿Me puede dar la llave?"
"18","Can I have more towels?","¿Me puede dar más toallas?"
"19","Can you call a taxi for me?","¿Me puede llamar un taxi?"
"20","Can I have extra towels in the room?","¿Me puede poner toallas extras en la habitación?"
"21","Can I leave my luggage?","¿Puedo dejar mi equipaje?"
"22","Can I check out later?","¿Puedo hacer el check-out más tarde?"
"23","Do you have a restaurant?","¿Tiene restaurante?"
"24","You are welcome.","De nada."
"25","Excuse me, where is the elevator?","Disculpe, ¿dónde está el ascensor?"
"26","I enjoyed my stay.","Disfruté mi estancia."
"27","The air conditioning does not work.","El aire acondicionado no funciona."
"28","Thank you for your help.","Gracias por su ayuda."
"29","The room is very nice.","La habitación está muy bonita."
"30","The tv does not work.","La televisión no funciona."
"31","Thank you very much.","Muchas gracias."
"32","I need more soap and shampoo.","Necesito más jabón y shampoo."
"33","I need room service.","Necesito servicio a la habitación."
"34","There is no hot water.","No hay agua caliente."
"35","I would like to check out.","Quisiera hacer el registro de salida."
"36","I would like to pay with credit card.","Quisiera pagar con tarjeta de crédito."
"37","I would like to check in.","Quisiera registrarme."
"38","I booked a ___ room.","Reservé una habitación ___."
"39","I have a reservation under the name of ___.","Tengo una reservación a nombre de ___."
"40","I have a reservation.","Tengo una reservación."
