word,answer
"a stack, pile",una pila
a (city) block,una cuadra
"a (drinking) glass, vase",un vaso
"a (financial) bank, bench",un banco
a (foot) path,un sendero
a (pl) thank you,una gracia
"a (river) bed, couch",un lecho
"a (river) bed, ditch",un cauce
a (specific) language,un idioma
"a (terrorist) attack, offence",un atentado
a (tin) can,una lata
a (vehicle) window,una ventanilla
a balcony,un balcón
a ball,un balón
"a ball, sphere",una bola
"a bar, rod, rail",una barra
"a barrier, obstacle",una barrera
"a beach, seaside",una playa
"a beak, peak",un pico
a bear,un oso
a beard,una barba
"a bearer, carrier",un portador
a beauty,una belleza
a bed (furniture),una cama
"a bedroom, dormitory",un dormitorio
a being,un ser
a belief,una creencia
"a benefit, lending of service",una prestación
a Bible,una biblia
a biography,una biografía
a biology,una biología
a bird,una ave
a birth,un parto
"a birth, origin",un nacimiento
a birthday,un cumpleaño
"a bitterness, sorrow",una amargura
"a blame, fault",una culpa
a block,un bloque
"a blockade, block",un bloqueo
a blog,un blog
a blood,una sangre
"a boat, ship",un barco
"a bomb, explosion, pump",una bomba
"a bond, certificate, voucher",un bono
a bone,un hueso
"a boot, wineskin",una bota
"a bottle, flask",una botella
"a bottle, jar, flask",un frasco
"a bottom, butt",un culo
"a bottom, end",un fondo
"a bow, knot, tie, lasso",un lazo
a boy,un muchacho
"a boyfriend, groom",un novio
a brain,un cerebro
a bread,un pan
a breakfast,un desayuno
"a breath, courage, spirit",un aliento
"a breeding, raising",una cría
"a brightness, radiance",un resplandor
"a broadcast, transmission",una transmisión
"a broker, corridor, runner",un corredor
a bronze,un bronce
"a brook, stream, gutter",un arroyo
a brother-in-law,un cuñado
"a browser, navigator",un navegador
a bubble,una burbuja
"a bug, creature",un bicho
"a builder, construction",un constructor
"a bulk, shape",un bulto
a bull,un toro
"a butterfly, wing nut",una mariposa
"a buttocks, backside, bottom",una nalga
"a cable, wiring",un cable
"a cage, crate, playpen",una jaula
a calendar,un calendario
"a call, calling",un llamado
"a call, knock",una llamada
"a camp, camping",un campamento
"a candy, sweets",un dulce
"a cane, reed",una caña
"a canvas, painting",un lienzo
"a canyon, cannon",un cañón
a capital,un capital
"a caprice, whim",un capricho
"a capture, snapshot, screenshot",una captura
"a car, cart",un carro
a card,una tarjeta
"a cardboard, carton, sketch",un cartón
"a career, course, race",una carrera
a carnival,un carnaval
"a cart, wagon",una carreta
a catalog,un catálogo
a catastrophe,una catástrofe
a category,una categoría
a cathedral,una catedral
a cell (biology),una célula
"a cellar, pantry, warehouse",una bodega
"a cement, concrete",un cemento
a centimeter,un centímetro
"a century, age",un siglo
a ceremony,una ceremonia
a certainty,una certeza
"a challenge, defiance",un reto
a champion,un campeón
a championship,un campeonato
"a chance, coincidence",una casualidad
"a channel, canal",un canal
a chapter,un capítulo
"a characteristic, aspect",una característica
"a charm, spell",un encanto
a checking revision,una revisión
"a chemistry, chemist",una química
a chess,un ajedrez
"a child, young girl",una niña
"a chimney, fireplace",una chimenea
a chocolate,un chocolate
"a choir, chorus",un coro
a Christmas,una navidad
a circus,un circo
"a citizenship, citizens",una ciudadanía
"a city (f), money (m)",un capital
"a city council, town hall",un ayuntamiento
a civilization,una civilización
a classification,una clasificación
a classroom,una aula
"a cleanliness, purity",una limpieza
a click,un clic
"a client, customer",un cliente
a climate,un clima
a climax,un colmo
a clinic,una clínica
"a clipping, cutting, trimming",un recorte
"a cloth, fabric",una tela
a cloud,una nube
"a club, society",un club
"a clue, track, trace",una pista
"a coach, trainer, manager",un entrenador
"a coal, charcoal",un carbón
"a cocaine, coke",una coca
"a coffee, cafe",un café
a coincidence,una coincidencia
a collaboration,una colaboración
"a colony, cologne",una colonia
a color,un color
"a column, spine",una columna
"a combat, battle, fight",un combate
a combination,una combinación
"a comedy, play, pretense",una comedia
"a comfort, consolation",un consuelo
"a command, order",un comando
"a commission, committee",una comisión
"a commissioner, delegate",un comisario
"a committee, commission",un comité
a community,una comunidad
"a companion, classmate",un compañero
"a company, signature, signing",una firma
"a competition, contest",una competencia
"a competition, contest",una competición
"a complement, supplement",un complemento
"a composition, makeup, essay",una composición
"a compromise, engagement",un compromiso
"a concentration, gathering",una concentración
a conception,una concepción
"a concert, concerto",un concierto
"a conclusion, end",una conclusión
a condition,una condición
"a conduct, behavior",una conducta
"a conference, lecture",una conferencia
"a confession, admission",una confesión
"a confidence, trust",una confianza
a conflict,un conflicto
a confusion,una confusión
a conquest,una conquista
"a conscience, consciousness",una conciencia
a conservation,una conservación
"a consideration, regard",una consideración
a console,una consola
a constitution,una constitución
a contact,un contacto
"a contamination, pollution",una contaminación
a continent,un continente
a continuity,una continuidad
"a contract, agreement",un contrato
a contradiction,una contradicción
a contrast,un contraste
a contribution,una contribución
a controversy,una controversia
"a convent, monastery",un convento
a conversation,una conversación
"a conversion, change",una conversión
a coordination,una coordinación
"a copy, issue",un ejemplar
"a cord, rope",una cuerda
"a cord, yarn, braid",un cordón
"a corn, maize",un maíz
a corner,una esquina
"a corner, nook",un rincón
"a corral, yard",un corral
"a correspondence, connection",una correspondencia
a corruption,una corrupción
"a cost, price",un coste
a cottage,una casita
a cough,una tos
a count,un conde
"a couple, pair",una pareja
"a courage, toughness",un coraje
"a court, tribunal, judge",un juzgado
"a courtesy title (f), Mrs.",una doña
"a courtesy title (m), Mr., gift",un don
a cousin,un primo
a coverage,una cobertura
"a covering, top, lid",una cubierta
"a crash, collision",un choque
a cream,una crema
a creation,una creación
a creator,un creador
"a creature, child",una criatura
"a credit, reputation",un crédito
"a crime, offense",un delito
a criterion,un criterio
a critic,un crítico
"a cross, burden",una cruz
"a crossing, intersection",un cruce
"a cry, shout, scream",un grito
"a cultivation, crop",un cultivo
"a cupola, dome",una cúpula
"a curiosity, quaintness",una curiosidad
"a dam, prisoner (f)",una presa
"a data, fact",un dato
"a date, day",una fecha
a daughter,una hija
"a dawn, daybreak",una alba
a day,un día
"a daybreak, dawn",un amanecer
"a deadline, installment",un plazo
a debate,un debate
a debt,una deuda
a decade,una década
"a deceit, falsehood, hoax",un engaño
a December,un diciembre
a decision,una decisión
"a declaration, statement",una declaración
a decoration,una decoración
"a decree, order",un decreto
"a dedication, devotion",una dedicación
"a deed, heroic feat",una hazaña
"a defeat, loss",una derrota
a defender,un defensor
"a deficiency, lack",una deficiencia
"a deficit, shortage",un déficit
a definition,una definición
a delegation,una delegación
"a delirium, nonsense",un delirio
a delivery,una entrega
a demonstration,una demostración
"a dependence, dependency",una dependencia
"a deposit, sediment",un depósito
"a depth, profundity",una profundidad
a description,una descripción
a desert,un desierto
a desire,una gana
"a desire, wish",un deseo
"a desperation, exasperation",una desesperación
a dessert,un postre
a detail,un detalle
"a detention, arrest",una detención
"a deterioration, damage",un deterioro
"a device, mechanism",un dispositivo
a devil,un diablo
a dew,un rocío
a diabetes,una diabet
a diagnosis,un diagnóstico
"a dialogue, conversation",un diálogo
a diameter,un diámetro
"a diary, agenda, schedule",una agenda
a dictator,un dictador
a dictatorship,una dictadura
a diet,una dieta
"a difficulty, obstacle",una dificultad
"a dimension, size",una dimensión
"a direction, address",una dirección
"a direction, course, bearing",un rumbo
a disappearance,una desaparición
"a discomfort, unease, unrest",un malestar
a discrimination,una discriminación
a disgust,un asco
"a disposal, disposition",una disposición
"a dispute, argument, quarrel",una disputa
a distinction,una distinción
"a distribution, delivery",un reparto
"a diversity, variety",una diversidad
"a doctrine, teachings",una doctrina
a documentation,una documentación
a donation,una donación
a door,una puerta
"a doorbell, bell, seal, stamp",un timbre
"a dossier, proceedings",un expediente
a dove,una paloma
a drawer,un cajón
"a driver, conductor",un conductor
a drop,una gota
a drug,una droga
a drug trafficking,un narcotráfico
"a drug, medicine",un fármaco
"a duration, length",una duración
"a dust, powder",un polvo
a dynamics,una dinámica
a euro,un euro
"a fact, happening",un hecho
"a factor, cause, influence",un factor
"a factory, manufacture",una fábrica
a family,una familia
"a fare, passage, lane",un pasaje
"a fashion, form",una moda
"a fauna, wildlife",una fauna
"a favor, mercy",una merced
"a feature, trait",un rasgo
a February,un febrero
a federation,una federación
"a female, woman",una hembra
a festival,un festival
"a fever, excitement",una fiebre
"a fiber, grain",una fibra
"a fight, quarrel",una pelea
"a film, movie",un film
"a financing, funding",una financiación
"a fire, conflagration",un incendio
"a fire, gunfire",un fuego
a firefighter,un bombero
a firewood,una leña
a firmness,una firmeza
a fish,un pescado
a fisherman,un pescador
