"id";"word";"answer"
"1";"she saves (money)";"(ella) ahorra"
"2";"she dances";"(ella) baila"
"3";"she changes";"(ella) cambia"
"4";"she draws";"(ella) dibuja"
"5";"she begins";"(ella) empieza"
"6";"she enters";"(ella) entra"
"7";"she sends (ships)";"(ella) envía"
"8";"she tries";"(ella) intenta"
"9";"she calls";"(ella) llama"
"10";"she pays";"(ella) paga"
"11";"she plays (instrument)";"(ella) toca"
"12";"she uses";"(ella) usa"
"13";"we access";"(nosotros) accedemos"
"14";"we look for";"(nosotros) buscamos"
"15";"we cancel";"(nosotros) cancelamos"
"16";"we cook";"(nosotros) cocinamos"
"17";"we begin";"(nosotros) empezamos"
"18";"we wait";"(nosotros) esperamos"
"19";"we study";"(nosotros) estudiamos"
"20";"we explain";"(nosotros) explicamos"
"21";"we win";"(nosotros) ganamos"
"22";"we try";"(nosotros) intentamos"
"23";"we call";"(nosotros) llamamos"
"24";"we send";"(nosotros) mandamos"
"25";"we need";"(nosotros) necesitamos"
"26";"we forget";"(nosotros) olvidamos"
"27";"we prepare";"(nosotros) preparan"
"28";"we play (instrument)";"(nosotros) tocamos"
"29";"we use";"(nosotros) usamos"
"30";"you dance [sing, inf]";"(tú) bailas"
"31";"you look for [sing, inf]";"(tú) buscas"
"32";"you buy [sing, inf]";"(tú) compras"
"33";"you rest [sing, inf]";"(tú) descansas"
"34";"you listen [sing, inf]";"(tú) escuchas"
"35";"you invite [sing, inf]";"(tú) invitas"
"36";"you clean [sing, inf]";"(tú) limpias"
"37";"you pay [sing, inf]";"(tú) pagas"
"38";"you stay [sing, inf]";"(tú) quedas"
"39";"you work [sing, inf]";"(tú) trabajas"
"40";"you rent [sing, formal]";"(usted) alquila"
"41";"you walk [sing, formal]";"(usted) camina"
"42";"you wait [sing, formal]";"(usted) espera"
"43";"you explain [sing, formal]";"(usted) explica"
"44";"you arrive [sing, formal]";"(usted) llega"
"45";"you watch [sing, formal]";"(usted) mira"
"46";"you forget [sing, formal]";"(usted) olvida"
"47";"you return [sing, formal]";"(usted) regresa"
"48";"you finish [sing, formal]";"(usted) termina"
"49";"you visit [sing, formal]";"(usted) visita"
"50";"you save (money) [pl]";"(ustedes) ahorran"
"51";"you change [pl]";"(ustedes) cambian"
"52";"they (ustedes) buy [pl]";"(ustedes) compran"
"53";"you answer [pl]";"(ustedes) contestan"
"54";"you draw [pl]";"(ustedes) dibujan"
"55";"they (ustedes) listen [pl]";"(ustedes) escuchan"
"56";"you speak [pl]";"(ustedes) hablan"
"57";"you wash [pl]";"(ustedes) lavan"
"58";"you carry [pl]";"(ustedes) llevan"
"59";"you show [pl]";"(ustedes) muestran"
"60";"you ask [pl]";"(ustedes) preguntan"
"61";"you remember [pl]";"(ustedes) recuerdan"
"62";"you revisit [pl]";"(ustedes) revisitan"
"63";"you take [pl]";"(ustedes) toman"
"64";"you travel [pl]";"(ustedes) viajan"
"65";"I access";"(yo) accedo"
"66";"I rent";"(yo) alquilo"
"67";"I help";"(yo) ayudo"
"68";"I walk";"(yo) camino"
"69";"I rest";"(yo) descanso"
"70";"I enter";"(yo) entro"
"71";"I send (ship)";"(yo) envío"
"72";"I win";"(yo) gano"
"73";"I invite";"(yo) invito"
"74";"I clean";"(yo) limpio"
"75";"I carry";"(yo) llevo"
"76";"I send";"(yo) mando"
"77";"I show";"(yo) muestro"
"78";"I need";"(yo) necesito"
"79";"I practice";"(yo) practico"
"80";"I ask";"(yo) pregunto"
"81";"I remember";"(yo) recuerdo"
"82";"I return";"(yo) regreso"
"83";"I revisit";"(yo) revisito"
"84";"I finish";"(yo) termino"
"85";"I take";"(yo) tomo"
"86";"I travel";"(yo) viajo"
"87";"I visit";"(yo) visito"
"88";"he helps";"(él) ayuda"
"89";"he cancels";"(él) cancela"
"90";"he cooks";"(él) cocina"
"91";"he answers";"(él) contesta"
"92";"he studies";"(él) estudia"
"93";"he speaks";"(él) habla"
"94";"he washes";"(él) lava"
"95";"he arrives";"(él) llega"
"96";"he watches";"(él) mira"
"97";"he practices";"(él) practica"
"98";"he prepares";"(él) prepara"
"99";"he stays";"(él) queda"
"100";"he works";"(él) trabaja"
