"id";"word";"answer"
"1";"With much care, the hosts put on cheerful music.";"Con mucho cuidado, los anfitriones ponen música alegre."
"2";"After much preparation, everything is ready.";"Después de mucha preparación, todo está listo."
"3";"Tonight there is a party at the house of an acquaintance.";"Esta noche hay una fiesta en la casa de una conocida."
"4";"There is much to drink also: wine and beer, vodka and tequila.";"Hay mucho que beber también: vino y cerveza, vodka y tequila."
"5";"There is soda and soft drink, mineral water and juice for the people who do not want to drink alcohol.";"Hay soda y gaseosa, agua mineral y jugo para la gente que no quiere tomar alcohol."
"6";"The house is clean and there are appetizers and snacks on the table.";"La casa está limpia y hay entremeses y bocadillos en la mesa."
"7";"The party begins at eight.";"La fiesta empieza a las ocho."
"8";"I do not know why the invitations always have the wrong time.";"No sé porque las invitaciones siempre llevan la hora equivocada."
"9";"I do not know if I want to go.";"No sé si quiero ir."
"10";"I think that the guests are going to arrive at nine.";"Pienso que los invitados van a llegar a las nueve."
"11";"First there is music.";"Primero hay música."
"12";"If she knows that we are going to arrive after nine, why does she write that it begins at eight?";"Si ella sabe que vamos a llegar después de las nueve, ¿por qué escribe que empieza a las ocho?"
"13";"I have the invitation on top of the piano that I no longer play.";"Tengo la invitación encima del piano que ya no toco."
"14";"How do I imagine the party?";"¿Cómo imagino la fiesta?"
