"id";"word";"answer"
"1";"Title: The Lost Book";"El Libro Perdido"
"2";"I owe the library a small fine.";"Debo una multa pequeña a la biblioteca."
"3";"We depend on the map to find the right shelf.";"Dependemos del mapa para encontrar el estante correcto."
"4";"She hides the book in her backpack.";"Ella esconde el libro en su mochila."
"5";"He exceeds the time limit for returns.";"Él excede el tiempo límite para devoluciones."
"6";"They read quietly near the window.";"Ellos leen en silencio cerca de la ventana."
"7";"You put the card in the return box.";"Metes la tarjeta en la caja de devoluciones."
"8";"I don’t want to offend the librarian.";"No quiero ofender a la bibliotecaria."
"9";"The library possesses many old books.";"La biblioteca posee muchos libros antiguos."
"10";"We turn on the small reading lamp.";"Prendemos la lamparita de lectura."
"11";"Tomorrow we are going to proceed with the payment.";"Mañana vamos a proceder con el pago."
