"id","word","answer"
"1","forward","adelante"
"2","next to","al lado de"
"3","there","allá"
"4","here","aquí"
"5","avenue","avenida"
"6","bank","banco"
"7","sidewalk","banqueta"
"8","neighborhood","barrio"
"9","library","biblioteca"
"10","street","calle"
"11","walk","camine"
"12","highway","carretera"
"13","shopping mall","centro comercial"
"14","near","cerca"
"15","near/close [to]","cerca [de]"
"16","near here","cerca de aquí"
"17","cross","cruce"
"18","crosswalk","cruce peatonal"
"19","block","cuadra"
"20","right","derecha"
"21","straight","derecho"
"22","after","después de"
"23","behind","detrás de"
"24","address","dirección"
"25","excuse me","disculpe"
"26","turn","doble (or gire)"
"27","building","edificio"
"28","on that corner","en esa esquina"
"29","on this street","en esta calle"
"30","in front of","enfrente de"
"31","school","escuela"
"32","corner","esquina"
"33","station","estación"
"34","east","este"
"35","roundabout","glorieta"
"36","hospital","hospital"
"37","hotel","hotel"
"38","church","iglesia"
"39","intersection","intersección"
"40","left","izquierda"
"41","far","lejos"
"42","far [from]","lejos [de]"
"43","far from here","lejos de aquí"
"44","market","mercado"
"45","museum","museo"
"46","north","norte"
"47","west","oeste"
"48","park","parque"
"49","plaza","plaza"
"50","bridge","puente"
"51","restaurant","restaurante"
"52","traffic light","semáforo"
"53","supermarket","supermercado"
"54","south","sur"
"55","straight ahead","todo derecho"
