"id";"word";"answer"
"1";"Title: The First Day";"El Primer Día"
"2";"We open the door to the new classroom.";"Abrimos la puerta del salón nuevo."
"3";"I admit that I feel a little nervous.";"Admito que me siento un poco nervioso."
"4";"They attend the orientation with us.";"Ellos asisten a la orientación con nosotros."
"5";"You share your notebook with a classmate.";"Compartes tu cuaderno con un compañero."
"6";"She covers her book with a bright folder.";"Ella cubre su libro con una carpeta brillante."
"7";"He turns twelve today.";"Él cumple doce años hoy."
"8";"We decide where to sit.";"Decidimos dónde sentarnos."
"9";"I describe my goals for the year.";"Describo mis metas para el año."
"10";"They discover a small library in the corner.";"Ellos descubren una pequeña biblioteca en la esquina."
"11";"Tomorrow we are going to discuss our first project.";"Mañana vamos a discutir nuestro primer proyecto."
