"id";"word";"answer"
"1";"Clotilde is French.";"Clotilde es francesa."
"2";"We must act fast.";"Debemos actuar rápido."
"3";"We must hear the voices of the less fortunate.";"Debemos oír las voces de los menos afortunados."
"4";"We should form a football team.";"Deberíamos formar un equipo de fútbol."
"5";"You must go to the corresponding office.";"Debes dirigirte a la oficina correspondiente."
"6";"DNA is inside our cells.";"El ADN está dentro de nuestras células."
"7";"The apartment is empty.";"El apartamento está vacío."
"8";"The forest is the main natural resource in this region.";"El bosque es el recurso natural principal de esta región."
"9";"The carnival begins tomorrow.";"El carnaval empieza mañana."
"10";"The opening time is at five in the afternoon.";"El horario de apertura es a las cinco de la tarde."
"11";"The start of classes is on March 13.";"El inicio de las clases es el 13 de marzo."
"12";"They take their child to the beach.";"Ellos llevan a su hijo a la playa."
"13";"In the countryside, we can see more stars.";"En el campo, podemos ver más estrellas."
"14";"In this context, we must remain calm.";"En este contexto, debemos permanecer tranquilos."
"15";"In this valley wine is produced.";"En este valle se produce vino."
"16";"It is important to participate in the assembly.";"Es importante participar en la asamblea."
"17";"Those three points form a triangle.";"Esos tres puntos forman un triángulo."
"18";"This is a democratic society.";"Esta es una sociedad democrática."
"19";"We are having an internal discussion.";"Estamos teniendo una discusión interna."
"20";"I miss my parents.";"Extraño a mis padres."
"21";"Federico is Argentinian, but he lives in Madrid.";"Federico es argentino, pero vive en Madrid."
"22";"There are matters that we have to solve.";"Hay cuestiones que tenemos que resolver."
"23";"There is a direct train at nine in the morning.";"Hay un tren directo a las nueve de la mañana."
"24";"There is a squirrel in the garden.";"Hay una ardilla en el jardín."
"25";"Hugo is in charge of the sanitary facilities.";"Hugo se encarga de las instalaciones sanitarias."
"26";"Jasmine has no real problems.";"Jazmín no tiene problemas reales."
"27";"History is within the social sciences.";"La historia está dentro de las ciencias sociales."
"28";"Martín is an intellectual.";"Martín es un intelectual."
"29";"My back hurts a lot.";"Me duele mucho la espalda."
"30";"My eye hurts.";"Me duele un ojo."
"31";"My grandmother always asks me to buy her chocolates.";"Mi abuela siempre me pide que le compre chocolates."
"32";"My car is full.";"Mi automóvil está lleno."
"33";"My daughter is at the initial level.";"Mi hija está en el nivel inicial."
"34";"My vote is negative.";"Mi voto es negativo."
"35";"Miriam uses her own methods.";"Miriam usa sus propios métodos."
"36";"My parents produce wine.";"Mis padres producen vinos."
"37";"We need three vehicles to take everyone.";"Necesitamos tres vehículos para llevar a todo el mundo."
"38";"I think we should buy more supplies.";"Pienso que deberíamos comprar más provisiones."
"39";"I prefer to avoid the concentration of people.";"Prefiero evitar la concentración de personas."
"40";"We want to reach the summit by tomorrow afternoon.";"Queremos llegar a la cima mañana por la tarde."
"41";"I want to believe his words, but it's hard.";"Quiero creer en sus palabras, pero es difícil."
"42";"I want to paint the walls green.";"Quiero pintar las paredes de verde."
"43";"I feel a pain in my chest.";"Siento un dolor en el pecho."
"44";"I am fully aware of the risks.";"Soy perfectamente consciente de los riesgos."
"45";"His interpretation of the law is biased.";"Su interpretación de la ley es tendenciosa."
"46";"I have to ask you a favor.";"Te tengo que pedir un favor."
"47";"I have full confidence in Marta.";"Tengo confianza plena en Marta."
"48";"I have doubts about this matter.";"Tengo dudas sobre este asunto."
"49";"I have numerous friends in Mexico.";"Tengo numerosos amigos en México."
"50";"I'm on page forty.";"Voy por la página cuarenta."
"51";"You're an angel!";"¡Eres un ángel!"
"52";"What are the reasons why you want to resign?";"¿Cuáles son los motivos por los que quieres renunciar?"
"53";"Can you recognize your mother in this photograph?";"¿Puedes reconocer a tu madre en esta fotografía?"
"54";"Do you want sugar or sweetener?";"¿Quiere azúcar o edulcorante?"
"55";"What happens?";"¿Qué sucede?"
"56";"What are you going to study when you’re older?";"¿Qué vas a estudiar cuando seas mayor?"
"57";"Is that city worth visiting?";"¿Vale la pena visitar esa ciudad?"
