"id";"word";"answer"
"1";"Title: Afternoon At The Market";"Tarde En El Mercado"
"2";"I give the vendor exact change.";"Doy el cambio exacto al vendedor."
"3";"You are going to let the kids choose a snack. [pl]";"Van a dejar que los niños elijan una botana."
"4";"We drink a cold agua fresca.";"Bebemos una agua fresca fría."
"5";"They finish choosing their vegetables.";"Acaban de escoger sus verduras."
"6";"You pay for the fruit at the counter. [sing, inf]";"Pagas la fruta en la caja."
"7";"I spend a little more on fresh tortillas.";"Gasto un poco más en tortillas frescas."
"8";"We take out the bags from the cart.";"Sacamos las bolsas del carrito."
"9";"They remove the stems from the strawberries.";"Quitan los tallos de las fresas."
"10";"You drive slowly through the busy street. [sing, formal]";"Maneja despacio por la calle llena."
"11";"I am going to open the bag to check it.";"Voy a abrir la bolsa para revisarla."
"12";"We love the smell of warm bread.";"Amamos el olor del pan calientito."
"13";"They wash the fruit at the sink.";"Lavan la fruta en el fregadero."
"14";"You cook a quick meal with fresh ingredients. [pl]";"Cocinan una comida rápida con ingredientes frescos."
"15";"We clean the table before eating.";"Limpiamos la mesa antes de comer."
"16";"They dry the lettuce with a towel.";"Secan la lechuga con una toalla."
"17";"You are going to bathe the baby after lunch. [sing, inf]";"Vas a bañar al bebé después de comer."
"18";"I matter to the vendor because I come often.";"Importo al vendedor porque vengo seguido."
"19";"We interest the kids with colorful fruit.";"Interesamos a los niños con fruta colorida."
"20";"They bother no one; they’re calm today.";"No molestan a nadie; están tranquilos hoy."
"21";"You win a small discount. [sing, formal]";"Gana un pequeño descuento."
"22";"We go up the ramp with the cart.";"Subimos la rampa con el carrito."
"23";"They come down the stairs carefully.";"Bajan las escaleras con cuidado."
"24";"You dance a little to the music outside. [pl]";"Bailan un poco con la música de afuera."
"25";"I am going to tie the bags tightly.";"Voy a atar bien las bolsas."
"26";"We tell the vendor we’ll return soon.";"Contamos al vendedor que volveremos pronto."
