"I help my friend today.";"(yo) ayudo a mi amigo"
"He helps his young sister.";"(él) ayuda a su hermana joven"
"You look for the blue book. [sing, formal]";"(usted) busca el libro azul"
"We look for the lost keys.";"(nosotros) buscamos las llaves perdidas"
"She changes her small room.";"(ella) cambia su cuarto pequeño"
"You change the travel plan. [pl]";"(ustedes) cambian el plan de viaje"
"I walk to the quiet park.";"(yo) camino al parque tranquilo"
"You walk with your cousin. [sing, formal]";"(usted) camina con su primo"
"We cook a simple soup.";"(nosotros) cocinamos una sopa simple"
"He cooks a fresh meal.";"(él) cocina una comida fresca"
"You buy a fresh apple. [sing, inf]";"(tú) compras una manzana fresca"
"You buy the city map. [pl]";"(ustedes) compran el mapa de la ciudad"
"I enter the small store.";"(yo) entro a la tienda pequeña"
"She enters the quiet house.";"(ella) entra a la casa tranquila"
"You wait near the old tree. [sing, formal]";"(usted) espera cerca del árbol viejo"
"We wait in the warm room.";"(nosotros) esperamos en el cuarto cálido"
"He speaks in the quiet room.";"(él) habla en el cuarto tranquilo"
"You speak clear Spanish. [pl]";"(ustedes) hablan español claro"
"I clean the small kitchen.";"(yo) limpio la cocina pequeña"
"You clean your bright room. [sing, formal]";"(usted) limpia su cuarto brillante"
"You call your tall brother. [sing, inf]";"(tú) llamas a tu hermano alto"
"They call the local doctor. [pl]";"(ustedes) llaman al doctor local"
"She carries the heavy box.";"(ella) lleva la caja pesada"
"We carry the travel bags.";"(nosotros) llevamos las bolsas de viaje"
"He watches the short movie.";"(él) mira la película corta"
"You watch the brown dog. [sing, formal]";"(usted) mira al perro café"
"I need a clean towel.";"(yo) necesito una toalla limpia"
"We need a quiet place.";"(nosotros) necesitamos un lugar tranquilo"
"You pay the small bill. [sing, inf]";"(tú) pagas la cuenta pequeña"
"She pays the bus fare.";"(ella) paga el pasaje del autobús"
"I ask a simple question.";"(yo) pregunto una pregunta simple"
"You ask for more time. [pl]";"(ustedes) preguntan por más tiempo"
"He prepares a green salad.";"(él) prepara una ensalada verde"
"We prepare the dinner table.";"(nosotros) preparamos la mesa de cena"
"I return to the quiet street.";"(yo) regreso a la calle tranquila"
"You return early today. [sing, formal]";"(usted) regresa temprano hoy"
"She plays the small guitar.";"(ella) toca la guitarra pequeña"
"We play soft music together.";"(nosotros) tocamos música suave juntos"
"I take the cold water.";"(yo) tomo el agua fría"
"You take the morning bus. [pl]";"(ustedes) toman el autobús de la mañana"
"He works in the big office.";"(él) trabaja en la oficina grande"
"You work very hard. [sing, inf]";"(tú) trabajas muy duro"
"We use this wooden table.";"(nosotros) usamos esta mesa de madera"
"She uses a red notebook.";"(ella) usa un cuaderno rojo"
"I visit the quiet museum.";"(yo) visito el museo tranquilo"
"You visit your kind aunt. [sing, formal]";"(usted) visita a su tía amable"
"He studies the long lesson.";"(él) estudia la lección larga"
"We study basic math today.";"(nosotros) estudiamos matemáticas básicas hoy"
"I travel to the small town.";"(yo) viajo al pueblo pequeño"
"You travel very often. [pl]";"(ustedes) viajan muy seguido"
"She dances at the big party.";"(ella) baila en la fiesta grande"
"We dance in the warm room.";"(nosotros) bailamos en el cuarto cálido"
"I send a short message.";"(yo) mando un mensaje corto"
"You send the small package. [pl]";"(ustedes) mandan el paquete pequeño"
"He answers the easy question.";"(él) contesta la pregunta fácil"
"You answer very quickly. [sing, formal]";"(usted) contesta muy rápido"
"You finish the long project. [sing, inf]";"(tú) terminas el proyecto largo"
"We finish the simple task.";"(nosotros) terminamos la tarea simple"
"I begin a new book.";"(yo) empiezo un libro nuevo"
"You begin the short lesson. [pl]";"(ustedes) empiezan la lección corta"
"He listens to soft music.";"(él) escucha música suave"
"You listen very well. [sing, formal]";"(usted) escucha muy bien"
"We practice the short dialogue.";"(nosotros) practicamos el diálogo corto"
"You practice every morning. [sing, inf]";"(tú) practicas cada mañana"
"I explain the simple idea.";"(yo) explico la idea simple"
"You explain everything clearly. [pl]";"(usteses) explican todo claramente"
"She shows the small photo.";"(ella) muestra la foto pequeña"
"We show the city map.";"(nosotros) mostramos el mapa de la ciudad"
"You try the new dish. [sing, formal]";"(usted) intenta el plato nuevo"
"You try again today. [sing, inf]";"(tú) intentas otra vez hoy"
"He invites his young cousin.";"(él) invita a su primo joven"
"You invite your close friends. [pl]";"(ustedes) invitan a sus amigos cercanos"
"I wash the dirty cup.";"(yo) lavo la taza sucia"
"We wash the clean plates.";"(nosotros) lavamos los platos limpios"
"You send the small package. [sing, inf]";"(tú) envías el paquete pequeño"
"You send money monthly. [sing, formal]";"(usted) envía dinero cada mes"
"We forget the short list.";"(nosotros) olvidamos la lista corta"
"You forget very often. [pl]";"(ustedes) olvidan muy seguido"
"I remember the old story.";"(yo) recuerdo la historia vieja"
"You remember her clearly. [sing, inf]";"(tú) recuerdas a ella claramente"
"She stays in the warm room.";"(ella) queda en el cuarto cálido"
"We stay in this house.";"(nosotros) quedamos en esta casa"
"You access the main page. [sing, formal]";"(usted) accede a la página principal"
"You access all files. [pl]";"(ustedes) acceden todos los archivos"
"He saves a little money.";"(él) ahorra un poco de dinero"
"You save money monthly. [sing, inf]";"(tú) ahorras dinero cada mes"
"I rent a small apartment.";"(yo) alquilo un apartamento pequeño"
"You rent this quiet room. [sing, formal]";"(usted) alquila este cuarto tranquilo"
"We cancel the noisy event.";"(nosotros) cancelamos el evento ruidoso"
"You cancel many plans. [pl]";"(ustedes) cancelan muchos planes"
"You rest on the soft sofa. [sing, inf]";"(tú) descansas en el sofá suave"
"We rest in the cool shade.";"(nosotros) descansamos en la sombra fresca"
"I draw a simple flower.";"(yo) dibujo una flor simple"
"You draw small animals. [pl]";"(ustedes) dibujan animales pequeños"
"She wins the small prize.";"(ella) gana el premio pequeño"
"You win sometimes. [sing, formal]";"(usted) gana a veces"
"He arrives at the tall building.";"(él) llega al edificio alto"
"We arrive very early.";"(nosotros) llegamos muy temprano"
"I revisit the quiet plaza.";"(yo) revisito la plaza tranquila"
"You revisit this special place. [pl]";"(ustedes) revisitan este lugar especial"
