"id";"word";"answer"
"1";"Title: The Small Accident";"El Pequeño Accidente"
"2";"I protect my phone with a strong case.";"Protejo mi teléfono con una funda resistente."
"3";"You respond quickly when I call your name.";"Respondes rápido cuando digo tu nombre."
"4";"He goes back a few steps to pick up his hat.";"Él retrocede unos pasos para recoger su gorra."
"5";"She breaks her pencil during the test.";"Ella rompe su lápiz durante el examen."
"6";"We surprise the teacher with a card.";"Sorprendemos a la maestra con una tarjeta."
"7";"Nothing serious happens, just a small noise.";"No sucede nada grave, solo un ruidito."
"8";"They suspend the activity for a moment.";"Ellos suspenden la actividad por un momento."
"9";"I fear being late.";"Temo llegar tarde."
"10";"You cough because the room is dusty.";"Toses porque el salón está polvoso."
"11";"Later we are going to sell the extra notebooks.";"Más tarde vamos a vender los cuadernos extra."
