"id";"word";"answer"
"1";"Title: The Family Weekend";"El Fin de Semana Familiar"
"2";"She writes a list of things to buy.";"Ella escribe una lista de cosas para comprar."
"3";"We print a map of the park.";"Imprimimos un mapa del parque."
"4";"They insist on leaving early.";"Ellos insisten en salir temprano."
"5";"I omit the heavy items from the bag.";"Omito los artículos pesados de la bolsa."
"6";"You depart with the kids to find a table.";"Partes con los niños para buscar una mesa."
"7";"The park allows pets in most areas.";"El parque permite mascotas en la mayoría de las áreas."
"8";"We receive a message from our cousins.";"Recibimos un mensaje de nuestros primos."
"9";"They go up the small hill to take photos.";"Ellos suben la colinita para tomar fotos."
"10";"Two families join us for lunch.";"Dos familias se unen a nosotros para el almuerzo."
"11";"Tonight we are going to live a quiet evening at home.";"Esta noche vamos a vivir una tarde tranquila en casa."
