"id";"word";"answer"
"1";"Title: The Small Art Fair";"La Pequeña Feria de Arte"
"2";"We answer questions from visitors at the art fair.";"Respondemos preguntas de los visitantes en la feria de arte."
"3";"Artists rest under the shade because the sun is strong.";"Los artistas descansan bajo la sombra porque el sol está fuerte."
"4";"A young girl draws a tiny house with bright colors.";"Una niña dibuja una casita con colores brillantes."
"5";"The fair begins early in the morning.";"La feria empieza temprano en la mañana."
"6";"People enter the tents to see the paintings.";"La gente entra a las carpas para ver las pinturas."
"7";"We send photos to friends who couldn’t come.";"Mandamos fotos a amigos que no pudieron venir."
"8";"Musicians listen to each other to stay in rhythm.";"Los músicos se escuchan entre ellos para mantener el ritmo."
"9";"I wait for the music to start again.";"Espero a que la música empiece otra vez."
"10";"They study the map of the fair to find every booth.";"Ellos estudian el mapa de la feria para encontrar cada puesto."
"11";"A volunteer explains where the food area is.";"Un voluntario explica dónde está la zona de comida."
