"id","word","answer"
"1","She likes___.","[A ella] Le gusta___."
"2","Does she like___?","[A ella] ¿Le gusta___?"
"3","Would she like___?","[A ella] ¿Le gustaría___?"
"4","Would they like___? [F]","[A ellas] ¿Les gustaría___?"
"5","Would they like___? [M or mixed]","[A ellos] ¿Les gustaría___?"
"6","I like___.","[A mí] Me gusta___."
"7","You like___. [informal]","[A ti] Te gusta___."
"8","Do you like___? [informal]","[A ti] ¿Te gusta___?"
"9","You like___. [formal]","[A usted] Le gusta___."
"10","Do you like___? [formal]","[A usted] ¿Le gusta___?"
"11","They like___. [formal]","[A ustedes] Les gusta___."
"12","Do they like___? [formal]","[A ustedes] ¿Les gusta___?"
"13","He likes___.","[A él] Le gusta___."
"14","Does he like___?","[A él] ¿Le gusta___?"
"15","Would he like___?","[A él] ¿Le gustaría___?"
"16","I would like___.","Me gustaría___."
"17","I want___.","Quiero___."
"18","Do you have___? [formal]","Tiene___?"
"19","Do you have___? [informal]","Tienes___?"
"20","Would Miguel like___?","¿A Miguel le gustaría___?"
"21","Would you like ___? [formal]","¿Le gustaría___?"
"22","Can you bring me___? [formal]","¿Me puede traer___?"
"23","Can you bring me___? [informal]","¿Me puedes traer___?"
"24","Do you want___? [formal]","¿Quiere___?"
"25","Do you want___? [informal]","¿Quieres___?"
"26","What type of ___ do you have? [formal]","¿Qué ___tiene? [¿Qué tipo de ___tiene?]"
"27","What type of ___ do you have? [informal]","¿Qué ___tienes? [¿Qué tipo de ___tienes?]"
"28","Would you like ___? [informal]","¿Te gustaría___?"
