"I need to go to…";"Necesito ir a…"
"I’m going to…";"Voy a…"
"Can you take me to…?";"¿Me puede llevar a…?"
"Can you drop me off here?";"¿Me puede dejar aquí?"
"Can you drop me off at the corner?";"¿Me puede dejar en la esquina?"
"Can you drop me off at the entrance?";"¿Me puede dejar en la entrada?"
"Can you pick me up here?";"¿Me puede recoger aquí?"
"Can you pick me up at the hotel?";"¿Me puede recoger en el hotel?"
"Can you come back for me later?";"¿Puede regresar por mí más tarde?"
"What time can you come back?";"¿A qué hora puede regresar?"
"Please wait a moment.";"Espéreme un momento, por favor."
"Please wait five minutes.";"Espéreme cinco minutos, por favor."
"I’ll be right back.";"Ahorita regreso."
"Is the meter on?";"¿Está puesto el taxímetro?"
"Do you use the meter?";"¿Usa taxímetro?"
"How much will it cost to go to…?";"¿Cuánto cuesta ir a…?"
"How much approximately?";"¿Cuánto aproximadamente?"
"Is that the total price?";"¿Ese es el precio total?"
"Is the tip included?";"¿La propina está incluida?"
"Can I pay by card?";"¿Puedo pagar con tarjeta?"
"Can I pay in cash?";"¿Puedo pagar en efectivo?"
"I only have cash.";"Solo tengo efectivo."
"I don’t have change.";"No tengo cambio."
"Do you have change?";"¿Tiene cambio?"
"Please go slowly.";"Vaya despacio, por favor."
"Please drive carefully.";"Maneje con cuidado, por favor."
"Please turn right.";"Dé vuelta a la derecha, por favor."
"Please turn left.";"Dé vuelta a la izquierda, por favor."
"Please go straight.";"Siga derecho, por favor."
"Please stop here.";"Deténgase aquí, por favor."
"Please stop at the corner.";"Deténgase en la esquina, por favor."
"Please stop in front of the hotel.";"Deténgase frente al hotel, por favor."
"This is the address.";"Esta es la dirección."
"I’ll show you the address.";"Le muestro la dirección."
"I’ll show you on the map.";"Le muestro en el mapa."
"Can you follow the GPS?";"¿Puede seguir el GPS?"
"We are going the wrong way.";"Vamos por el camino equivocado."
"I think it’s this way.";"Creo que es por aquí."
"I think it’s over there.";"Creo que es por allá."
"Please don’t take the highway.";"No tome la carretera, por favor."
"Please take the highway.";"Tome la carretera, por favor."
"Is this the fastest route?";"¿Esta es la ruta más rápida?"
"Is there a lot of traffic?";"¿Hay mucho tráfico?"
"How long will it take?";"¿Cuánto tiempo va a tardar?"
"How far is it?";"¿Qué tan lejos está?"
"Is it nearby?";"¿Está cerca?"
"Is it far?";"¿Está lejos?"
"Where can I get a taxi?";"¿Dónde puedo tomar un taxi?"
"Where can I get an Uber?";"¿Dónde puedo tomar un Uber?"
"Where is the pickup point?";"¿Dónde es el punto de recogida?"
"Where should I wait?";"¿Dónde debo esperar?"
"I’m waiting outside.";"Estoy esperando afuera."
"I’m at the entrance.";"Estoy en la entrada."
"I’m in front of the hotel.";"Estoy frente al hotel."
"I’m wearing a white hat.";"Traigo un sombrero blanco."
"What color is your car?";"¿De qué color es su coche?"
"What is the license plate?";"¿Cuál es la placa?"
"I can’t find you.";"No lo encuentro."
"Can you call me?";"¿Me puede llamar?"
"Can you send me a message?";"¿Me puede mandar un mensaje?"
"The Uber is too expensive.";"El Uber está muy caro."
"The taxi is too expensive.";"El taxi está muy caro."
"I’m going to cancel the ride.";"Voy a cancelar el viaje."
"Did I leave something in the car?";"¿Dejé algo en el coche?"
"I left my bag in the car.";"Dejé mi bolsa en el coche."
"I left my phone in the car.";"Dejé mi celular en el coche."
"Can you take me back?";"¿Me puede llevar de regreso?"
"Can you take me back to the hotel?";"¿Me puede llevar de regreso al hotel?"
"Where do I buy a ticket?";"¿Dónde compro un boleto?"
"Where do I pay?";"¿Dónde pago?"
"How much is the ticket?";"¿Cuánto cuesta el boleto?"
"One ticket, please.";"Un boleto, por favor."
"Two tickets, please.";"Dos boletos, por favor."
"A one-way ticket, please.";"Un boleto sencillo, por favor."
"A round-trip ticket, please.";"Un boleto de ida y vuelta, por favor."
"Is there a discount for seniors?";"¿Hay descuento para adultos mayores?"
"Which bus goes to…?";"¿Qué camión va a…?"
"Which platform?";"¿Qué andén?"
"Which gate?";"¿Qué puerta?"
"Where does the bus leave from?";"¿De dónde sale el camión?"
"Where does the bus arrive?";"¿A dónde llega el camión?"
"Does this bus go to…?";"¿Este camión va a…?"
"Does this bus stop at…?";"¿Este camión para en…?"
"Can you tell me when we arrive?";"¿Me puede avisar cuando lleguemos?"
"Please tell me when to get off.";"Avíseme cuándo bajarme, por favor."
"I need to get off here.";"Necesito bajarme aquí."
"Do I get off here?";"¿Me bajo aquí?"
"Is this my stop?";"¿Esta es mi parada?"
"When is the next bus?";"¿Cuándo sale el próximo camión?"
"Is the bus late?";"¿Está retrasado el camión?"
"Is the bus full?";"¿Está lleno el camión?"
"Is there another bus later?";"¿Hay otro camión más tarde?"
"Is there a direct bus?";"¿Hay un camión directo?"
"Do I need to transfer?";"¿Tengo que transbordar?"
"Where do I transfer?";"¿Dónde transbordo?"
"How many stops?";"¿Cuántas paradas?"
"Can I put my luggage here?";"¿Puedo poner mi equipaje aquí?"
"Where does the luggage go?";"¿Dónde va el equipaje?"
"Is this seat available?";"¿Está disponible este asiento?"
"Is this seat taken?";"¿Está ocupado este asiento?"
"Can I sit here?";"¿Me puedo sentar aquí?"
"The air conditioning is very cold.";"El aire acondicionado está muy frío."
"Can you open the window?";"¿Puede abrir la ventana?"
"Can you close the window?";"¿Puede cerrar la ventana?"
"I feel carsick.";"Me estoy mareando."
"Please stop. I feel sick.";"Deténgase, por favor. Me siento mal."
"This is not my destination.";"Este no es mi destino."
"I think I missed my stop.";"Creo que se me pasó mi parada."
