"id";"word";"answer"
"1";"Title: The Quiet Classroom";"El Aula Silenciosa"
"2";"I answer the first question, and the room becomes quiet.";"Contesto la primera pregunta y el salón se queda en silencio."
"3";"We rest for a moment before the next activity.";"Descansamos un momento antes de la siguiente actividad."
"4";"The teacher draws a big circle on the board.";"La maestra dibuja un círculo grande en el pizarrón."
"5";"The class begins with simple exercises.";"La clase empieza con ejercicios simples."
"6";"New students enter the room slowly.";"Nuevos estudiantes entran al salón despacio."
"7";"She sends a message to remind us about homework.";"Ella envía un mensaje para recordarnos la tarea."
"8";"We listen carefully to every instruction.";"Escuchamos con atención cada instrucción."
"9";"I wait for my turn with patience.";"Espero mi turno con paciencia."
"10";"They study together near the window.";"Ellos estudian juntos cerca de la ventana."
"11";"The teacher explains everything in a calm voice.";"La maestra explica todo con una voz tranquila."
