"Title: The Long Walk";"La Caminata Larga"
"She protects her face with a hat.";"Ella protege su cara con un sombrero."
"They respond when the guide calls them.";"Ellos responden cuando el guía los llama."
"We go back a little because we miss a turn.";"Retrocedemos un poco porque pasamos una vuelta."
"I break a small stick while walking.";"Rompo una ramita mientras camino."
"You surprise everyone with extra snacks.";"Sorprendes a todos con botanas extra."
"Strange things happen on long trails.";"Cosas raras suceden en los senderos largos."
"He suspends the hike to rest.";"Él suspende la caminata para descansar."
"I fear running out of water.";"Temo quedarme sin agua."
"She coughs a little from the dry air.";"Ella tose un poco por el aire seco."
"Later we are going to sell photos from the trip.";"Más tarde vamos a vender fotos del viaje."
