Do you speak English? [pol],¿Habla inglés?
I don’t understand.,No entiendo.
What does _____ mean?,¿Qué significa _____ ?
Do you speak English? [inf],¿Hablas inglés?
Does anyone speak English?,¿Hay alguien que hable inglés?
I don't speak Spanish.,No hablo español.
I speak a little.,Hablo un poquito.
Do you understand? [pol],¿Me entiende?
I understand.,Entiendo.
How do you pronounce this?,¿Cómo se pronuncia esto?
How do you write _____ ?,¿Cómo se escribe _____ ?
Could you please repeat that?,"¿Puede repetirlo, por favor?"
Could you please speak more slowly?,"¿Puede hablar más despacio, por favor?"
Could you please write it down?,"¿Puede escribirlo, por favor?"
embarrassed,apenado/a
pregnant,embarazada
exit,la salida
success,el éxito
injury,la herida
parents,los padres
relatives,los parientes
100,cien
200,doscientos
1000,mil
"1,000,000",un millón
1st,primero/a
2nd,segundo/a
3rd,tercero
How much?,¿Cuánto/a?
How many?,¿Cuantos/as?
a little ,un poco
"a lot, much",mucho/a
many,muchos/as
some,algunos/as
What time is it?,¿Qué hora es?
It’s one o’clock.,Es la una.
It’s ten o’clock.,Son las diez.
It’s a quarter past one.,Es la una y cuarto.
It’s a quarter to one.,Es un cuarto para la una.
It’s twenty past one.,Es la una y veinte.
It’s half past (eight).,Son las (ocho) y media.
It’s twenty to (eight).,Son veinte para las (ocho). [Son las siete cuarenta.]
It’s a quarter to (eight).,Son cuarto para las (ocho).
At what time ____ ?,¿A qué hora _____ ?
At one o’clock.,A la una.
At (eight) o’clock.,A las (ocho).
At (4:40pm).,A las (cuatro y cuarenta de la tarde).
noon,mediodía
midnight,medianoche
in the morning,de la mañana
in the afternoon,de la tarde
in the evening,de la noche
sunrise,el amanecer
dawn,la madrugada
morning,la mañana
day,el día
afternoon,la tarde
evening,la noche
sunset,el atardecer
Monday,lunes (m)
Tuesday,martes (m)
Wednesday,miércoles (m)
Thursday,jueves (m)
Friday,viernes (m)
Saturday,sábado (m)
Sunday,domingo (m)
January,enero (m)
February,febrero (m)
March,marzo (m)
April,abril (m)
May,mayo (m)
June,junio (m)
July,julio (m)
August,agosto (m)
September,septiembre (m)
October,octubre (m)
November,noviembre (m)
December,diciembre (m)
summer,verano (m)
autumn,otoño (m)
winter,invierno (m)
spring,primavera (f)
now,ahora
right now,ahora mismo
today,hoy
tonight,esta noche
this morning,esta mañana
this afternoon,esta tarde
this week,esta semana
this month,este mes
this year,este año
yesterday,ayer
yesterday morning,ayer en la mañana
yesterday afternoon,ayer en la tarde
yesterday evening,ayer en la noche
day before yesterday,antier
(three days) ago,hace (tres días)
since (May),desde (mayo)
last night,anoche
last week,la semana pasada
last month,el mes pasado
last year,el año pasado
tomorrow,mañana
tomorrow morning,mañana en la mañana
tomorrow afternoon,mañana en la tarde
tomorrow evening,mañana en la noche
day after tomorrow,pasado mañana
in (six) days,en (seis) días
until (June),hasta (junio)
next week,la próxima semana
next month,"el próximo mes [std], el mes que viene [conv]"
next year,"el próximo año [std], el año que viene [conv]"
