"id";"word";"answer"
"1";"She attended the ceremony last year.";"[Ella] asistió a la ceremonia el año pasado."
"2";"She helped her sister move.";"[Ella] ayudó a su hermana a mudarse."
"3";"She drank a glass of water after running.";"[Ella] bebió un vaso de agua después de correr."
"4";"She changed her plans at the last minute.";"[Ella] cambió sus planes en el último minuto."
"5";"She bought flowers at the market.";"[Ella] compró flores en el mercado."
"6";"She ran to catch the bus.";"[Ella] corrió para alcanzar el autobús."
"7";"She entered the building quietly.";"[Ella] entró al edificio en silencio."
"8";"She waited for the bus in the cold.";"[Ella] esperó el autobús en el frío."
"9";"She put the toys in the box.";"[Ella] metió los juguetes en la caja."
"10";"She distributed the materials.";"[Ella] repartió los materiales."
"11";"She responded with a smile.";"[Ella] respondió con una sonrisa."
"12";"She broke the glass by accident.";"[Ella] rompió el vaso por accidente."
"13";"She drank too much coffee this morning.";"[Ella] tomó demasiado café esta mañana."
"14";"She sold handmade crafts at the fair.";"[Ella] vendió artesanías hechas a mano en la feria."
"15";"She sold her old bicycle.";"[Ella] vendió su bicicleta vieja."
"16";"They helped the volunteers during the event.";"[Ellos] ayudaron a los voluntarios durante el evento."
"17";"They danced until midnight.";"[Ellos] bailaron hasta la medianoche."
"18";"They walked along the river yesterday.";"[Ellos] caminaron junto al río ayer."
"19";"They ate lunch together at the café.";"[Ellos] comieron el almuerzo juntos en el café."
"20";"They shared their food with us.";"[Ellos] compartieron su comida con nosotros."
"21";"They covered the plants before the storm.";"[Ellos] cubrieron las plantas antes de la tormenta."
"22";"They decided to leave early.";"[Ellos] decidieron irse temprano."
"23";"They wrote a long report.";"[Ellos] escribieron un informe largo."
"24";"They wrote several letters last month.";"[Ellos] escribieron varias cartas el mes pasado."
"25";"They existed only in old stories.";"[Ellos] existieron solo en historias antiguas."
"26";"They printed the posters yesterday.";"[Ellos] imprimieron los carteles ayer."
"27";"They insisted on paying for dinner.";"[Ellos] insistieron en pagar la cena."
"28";"They read the announcement this morning.";"[Ellos] leyeron el anuncio esta mañana."
"29";"They carried the boxes upstairs.";"[Ellos] llevaron las cajas arriba."
"30";"They sent the invitations last week.";"[Ellos] mandaron las invitaciones la semana pasada."
"31";"They watched the fireworks from the balcony.";"[Ellos] miraron los fuegos artificiales desde el balcón."
"32";"They needed help with the project.";"[Ellos] necesitaron ayuda con el proyecto."
"33";"They allowed the change without hesitation.";"[Ellos] permitieron el cambio sin dudar."
