"id","word","answer"
"1","starting","a partir de"
"2","to abandon, to leave","abandonar"
"3","to encompass, comprise","abarcar"
"4","to board, get in/on","abordar"
"5","to hug, embrace","abrazar"
"6","to open","abrir"
"7","to absorb, soak up","absorber"
"8","to be plentiful","abundar"
"9","to bore, tire","aburrir"
"10","to abuse","abusar"
"11","finish","acabar"
"12","to stroke, fondle, caress","acariciar"
"13","to consent, agree, accede","acceder"
"14","to accelerate","acelerar"
"15","to accent, stress","acentuar"
"16","to accept","aceptar"
"17","to come near","acercar"
"18","to get right","acertar"
"19","to clarify, clear up","aclarar"
"20","to welcome, accept","acoger"
"21","to be/make comfortable","acomodar"
"22","to accompany","acompañar"
"23","to advise, counsel","aconsejar"
"24","to happen, come about","acontecer"
"25","to remember, remind","acordar"
"26","to put/go to bed","acostar"
"27","to be accustomed to","acostumbrar"
"28","to activate, stimulate","activar"
"29","to update","actualizar"
"30","to act","actuar"
"31","to attend, go to, frequent","acudir"
"32","to accumulate, amass","acumular"
"33","to accuse","acusar"
"34","to adapt","adaptar"
"35","to move forward","adelantar"
"36","to adhere, attach","adherir"
"37","to guess, solve","adivinar"
"38","to administer, manage","administrar"
"39","to admire","admirar"
"40","to admit","admitir"
"41","to adopt","adoptar"
"42","to worship, adore","adorar"
"43","to adorn, to decorate","adornar"
"44","to acquire, get","adquirir"
"45","to notice, warn","advertir"
"46","to affect","afectar"
"47","to grasp, clutch","aferrar"
"48","to sharpen","afilar"
"49","to assert, affirm","afirmar"
"50","to loosen","aflojar"
"51","to face, confront","afrontar"
"52","to duck, bend down","agachar"
"53","to grasp, catch","agarrar"
"54","to shake, move","agitar"
"55","to exhaust, wear out, run out","agotar"
"56","to please","agradar"
"57","to thank for","agradecer"
"58","to aggravate","agravar"
"59","to add, gather","agregar"
"60","to [put in] group","agrupar"
"61","to endure, put up with","aguantar"
"62","to wait for, await","aguardar"
"63","to drown, choke, flood","ahogar"
"64","to save (money, time)","ahorrar"
"65","to isolate, insulate","aislar"
"66","to adjust, tighten","ajustar"
"67","to alarm","alarmar"
"68","to lodge, harbor","albergar"
"69","to reach, catch up with","alcanzar"
"70","to plead, argue","alegar"
"71","to be/make happy","alegrar"
"72","to move away","alejar"
"73","to encourage","alentar"
"74","to alert, warn","alertar"
"75","to feed, support","alimentar"
"76","to lighten, relieve, comfort","aliviar"
"77","to store, keep","almacenar"
"78","to have lunch","almorzar"
"79","to host, accommodate","alojar"
"80","to rent, hire","alquilar"
"81","to alter, modify","alterar"
"82","to alternate","alternar"
"83","to allude to","aludir"
"84","to life, raise","alzar"
"85","to dawn, become light","amanecer"
"86","to love","amar"
"87","to tie, fasten","amarrar"
"88","to threaten","amenazar"
"89","to gather, accumulate","amontonar"
"90","to protect, shelter","amparar"
"91","to enlarge, increase, expand","ampliar"
"92","to analyze","analizar"
"93","to walk, function","andar"
"94","to cheer up","animar"
"95","to annotate, jot, note","anotar"
"96","to anticipate, advance","anticipar"
"97","to annul, cancel","anular"
"98","to announce, advertise","anunciar"
"99","to turn off, extinguish","apagar"
"100","to appear","aparecer"
"101","to move away, separate","apartar"
"102","to inspire, be passionate about","apasionar"
"103","to call upon, appeal to","apelar"
"104","to flatten, crush, smash","aplastar"
"105","to clap, applaud","aplaudir"
"106","to apply","aplicar"
"107","to take power","apoderar"
"108","to provide, contribute","aportar"
"109","to wager, bet","apostar"
"110","to support, lean on","apoyar"
"111","to appreciate","apreciar"
"112","to learn","aprender"
"113","to hurry up, speed up","apresurar"
"114","to squeeze, tighten, compress","apretar"
"115","to pass (a test) approve","aprobar"
"116","to take advantage of","aprovechar"
"117","to come near, closer","aproximar"
"118","to point, note, aim","apuntar"
"119","to speed up, hurry up","apurar"
"120","to burn, glow","arder"
"121","to argue, deduce","argumentar"
"122","to arm, put together","armar"
"123","to start [machine], uproot","arrancar"
