id,word,answer
1,Title: Neighborhood Festival,Festival del Barrio
2,I save money every week because our neighborhood festival is coming.,Ahorro dinero cada semana porque ya viene el festival del barrio.
3,"We rent a small booth in the plaza, and everyone in the group helps with something.",Rentamos un puestecito en la plaza y todos en el grupo ayudan con algo.
4,"People dance in the street, and we look for the best music.",La gente baila en la calle y nosotros buscamos la mejor música.
5,"Sometimes the weather changes, but we still walk through the crowd with big smiles.","A veces el clima cambia, pero igual caminamos entre la gente con sonrisas grandes."
6,"Today the organizer cancels one activity, so we cook extra food to keep the energy high.","Hoy el organizador cancela una actividad, así que cocinamos comida extra para mantener la energía."
7,"At the end of the night, we buy sweet bread from a local baker.",Al final de la noche compramos pan dulce de un panadero local.
8,"Tomorrow, we are going to dance again.",Mañana vamos a bailar otra vez.
9,The kids are going to look for new decorations.,Los niños van a buscar decoraciones nuevas.
10,And I am going to save more money because next week the festival grows even bigger.,Y voy a ahorrar más dinero porque la próxima semana el festival crece todavía más.
