"id","word","answer"
"1","to access / enter","acceder"
"2","to save (money)","ahorrar"
"3","to rent","alquilar"
"4","to help","ayudar"
"5","to dance","bailar"
"6","to look for","buscar"
"7","to change","cambiar"
"8","to walk","caminar"
"9","to cancel","cancelar"
"10","to cook","cocinar"
"11","to buy","comprar"
"12","to answer","contestar"
"13","to rest","descansar"
"14","to draw","dibujar"
"15","to begin / start","empezar"
"16","to enter / go in","entrar"
"17","to send / ship","enviar"
"18","to listen","escuchar"
"19","to wait / hope","esperar"
"20","to study","estudiar"
"21","to explain","explicar"
"22","to win / earn","ganar"
"23","to speak / talk","hablar"
"24","to try / attempt","intentar"
"25","to invite","invitar"
"26","to wash","lavar"
"27","to clean","limpiar"
"28","to call","llamar"
"29","to arrive","llegar"
"30","to carry / wear / take","llevar"
"31","to send","mandar"
"32","to look at / watch","mirar"
"33","to show","mostrar"
"34","to need","necesitar"
"35","to forget","olvidar"
"36","to pay","pagar"
"37","to practice","practicar"
"38","to ask (a question)","preguntar"
"39","to prepare","preparar"
"40","to stay / remain","quedar"
"41","to remember","recordar"
"42","to return / come back","regresar"
"43","to revisit","revisitar"
"44","to finish","terminar"
"45","to play (instrument)","tocar"
"46","to take / drink","tomar"
"47","to work","trabajar"
"48","to use","usar"
"49","to travel","viajar"
"50","to visit","visitar"
