"id";"word";"answer"
"1";"blurry";"borroso"
"2";"sharp (image)";"nítido"
"3";"sharp (object)";"afilado"
"4";"dull (blade)";"desafilado"
"5";"pointed";"puntiagudo"
"6";"flat-tasting";"desabrido"
"7";"burned-tasting";"tostado"
"8";"smoky";"ahumado"
"9";"greasy";"aceitoso"
"10";"oily";"oleoso"
"11";"watery";"aguado"
"12";"thick (liquid)";"espeso"
"13";"thin (liquid)";"líquido"
"14";"solidified";"cuajado"
"15";"melted";"derretido"
"16";"fizzy";"gaseoso"
"17";"carbonated";"carbonatado"
"18";"flat (drink)";"desgasificado"
"19";"ripe (fruit)";"maduro"
"20";"overripe";"pasado"
"21";"undercooked";"crudo"
"22";"overcooked";"recocido"
"23";"burned";"quemado"
"24";"charred";"carbonizado"
"25";"toasted";"tostado"
"26";"fluffy";"esponjoso"
"27";"airy";"aireado"
"28";"dense";"denso"
"29";"compact";"compacto"
"30";"empty-headed";"superficial"
"31";"deep-thinking";"profundo"
"32";"thoughtful";"reflexivo"
"33";"careful";"cuidadoso"
"34";"careless";"descuidado"
"35";"attentive";"atento"
"36";"distracted";"distraído"
"37";"focused";"concentrado"
"38";"motivated";"motivado"
"39";"unmotivated";"desmotivado"
"40";"lazy";"flojo"
"41";"energetic";"enérgico"
"42";"exhausted";"agotado"
"43";"rested";"descansado"
"44";"sleepy";"somnoliento"
"45";"awake";"despierto"
"46";"alert";"alerta"
"47";"calm";"sereno"
"48";"tense";"tenso"
"49";"stressed";"estresado"
"50";"relaxed";"relajado"
"51";"furious";"furioso"
"52";"annoyed";"molesto"
"53";"bothered";"fastidiado"
"54";"offended";"ofendido"
"55";"embarrassed";"avergonzado"
"56";"ashamed";"apenado"
"57";"proud";"orgulloso"
"58";"hopeful";"esperanzado"
"59";"hopeless";"desesperado"
"60";"optimistic";"optimista"
"61";"pessimistic";"pesimista"
"62";"positive";"positivo"
"63";"negative";"negativo"
"64";"neutral";"neutral"
"65";"emotional";"emocional"
"66";"affectionate";"cariñoso"
"67";"loving";"amoroso"
"68";"romantic";"romántico"
"69";"passionate";"apasionado"
"70";"jealous";"celoso"
"71";"envious";"envidioso"
"72";"cold (emotionally)";"frío"
"73";"warm (emotionally)";"cálido"
"74";"friendly";"amistoso"
"75";"hostile";"hostil"
"76";"aggressive";"agresivo"
"77";"peaceful";"pacífico"
"78";"violent";"violento"
"79";"brave";"valiente"
"80";"cowardly";"cobarde"
"81";"fearful";"temeroso"
"82";"scared";"asustado"
"83";"confident";"seguro"
"84";"insecure";"inseguro"
"85";"shy";"tímido"
"86";"outgoing";"extrovertido"
"87";"introverted";"introvertido"
"88";"social";"sociable"
"89";"unsociable";"huraño"
"90";"funny";"gracioso"
"91";"serious";"serio"
"92";"boring";"tedioso"
"93";"entertaining";"entretenido"
"94";"interesting";"interesante"
"95";"curious";"curioso"
"96";"creative";"creativo"
"97";"imaginative";"imaginativo"
"98";"practical";"práctico"
"99";"impractical";"impráctico"
"100";"logical";"lógico"
