"id";"word";"answer"
"1";"Title: Morning At The Office";"Mañana En La Oficina"
"2";"I generate a simple report for the team.";"Genero un reporte sencillo para el equipo."
"3";"You shout to ask if the printer works. [sing, inf]";"Gritas para preguntar si funciona la impresora."
"4";"We find the missing folder on the shelf.";"Hallamos la carpeta perdida en el estante."
"5";"They identify the problem with the computer.";"Identifican el problema con la computadora."
"6";"I imagine a faster way to organize tasks.";"Imagino una forma más rápida de organizar tareas."
"7";"You involve the new intern in the project. [sing, formal]";"Implica al nuevo practicante en el proyecto."
"8";"We import the data from yesterday.";"Importamos los datos de ayer."
"9";"They incorporate the changes into the file.";"Incorporan los cambios en el archivo."
"10";"You indicate the correct column to edit. [pl]";"Indican la columna correcta para editar."
"11";"We install the update on all computers.";"Instalamos la actualización en todas las computadoras."
"12";"I integrate the notes into the final document.";"Integro las notas en el documento final."
"13";"They try a different format for the chart.";"Intentan un formato diferente para la gráfica."
"14";"You interest the team with your idea. [sing, inf]";"Interesas al equipo con tu idea."
"15";"We interpret the results together.";"Interpretamos los resultados juntos."
"16";"They invite the manager to review the progress.";"Invitan al gerente a revisar el progreso."
"17";"I launch the file to the shared folder.";"Lanzo el archivo a la carpeta compartida."
"18";"You raise the blinds to get more light. [sing, formal]";"Levanta las persianas para tener más luz."
"19";"We limit the report to one page.";"Limitamos el reporte a una página."
"20";"They fill out the form for the meeting.";"Llenan el formulario para la junta."
"21";"You cry from laughing at a joke. [pl]";"Lloran de la risa por un chiste."
"22";"I achieve the goal for the morning.";"Logro la meta de la mañana."
"23";"We manifest our support for the new plan.";"Manifestamos nuestro apoyo al nuevo plan."
"24";"They mark the important sections.";"Marcan las secciones importantes."
"25";"You tuck in the cables behind the desk. [sing, inf]";"Metes los cables detrás del escritorio."
"26";"We move the chairs for the meeting.";"Movemos las sillas para la junta."
"27";"I am going to install the new software later.";"Voy a instalar el software nuevo más tarde."
"28";"They are going to generate a summary soon.";"Van a generar un resumen pronto."
"29";"We are going to celebrate when we finish.";"Vamos a celebrar cuando terminemos."
