I'm starving.,¡Me muero de hambre!
Enjoy the meal.,¡Buen provecho!
Can you recommend a restaurant?,¿Me puede recomendar un restaurante?
I'd like to reserve a table for (two) people.,Quisiera reservar un mesa para (dos).
I'd like to reserve a table for (eight o'clock).,Quisiera reservar una mesa para las (ocho).
Are you still serving food?,¿Siguen sirviendo comida?
How long is the wait?,¿Cuánto hay que esperar?
I'd like a table for (two) please.,"Quisiera una mesa para (dos), por favor."
We're just having drinks.,Solo queremos tomar algo.
Just drinks.,Solo bebidas.
I'd like the menu please.,"Quisiera la carta, por favor."
"Can you bring me the menu, please?","¿Me trae la carta, por favor?"
Do you have a menu in English?,¿Tienen una carta en inglés?
We don't have any tables.,No tenemos mesas.
We're full. [restaurant],Estamos llenos.
We're closed.,Ya cerramos.
Where would you like to sit?,¿Dónde le gustaría sentarse?
Please bring us (a napkin).,"Por favor, nos trae (una servilleta)."
Would you like something to drink?,¿Quiere tomar algo?
What can I get for you?,¿Qué desea ordenar?
Can I see the menu please?,"¿Puedo ver la carta, por favor?"
I'd like the bill please.,"Quisiera la cuenta, por favor."
Is there any (chili sauce)?,¿Hay (salsa picante)?
I don't want it (fried).,No lo quiero frito.
I'd like it (without chili).,Lo quiero (sin chile).
I'd like it (on the side).,Lo quiero (aparte).
I'm full.,Estoy satisfecho.
This is burnt.,Esto está quemado.
This is cold.,Esto está frío.
This is (too) spicy.,Esto está (muy) picante.
The bill please.,"La cuenta, por favor."
Would you like to add a tip?,¿Desea agregar propina?
There's a mistake in the bill.,Hay un error en la cuenta.
I would like a (bottle/glass) of wine.,Quisiera una (botella/copa) de vino.
Excuse me! [ordering at a bar],¡Oiga!
What would you like?,¿Qué quieres tomar?
I'd like a beer please.,"Quisiera una cerveza, por favor."
"No ice, please.","Sin hielo, por favor."
Do you serve food here?,¿Sirven comidas aqui?
How much is (a kilo of cheese)?,¿Cuánto vale (un kilo de queso)?
Can I taste it?,¿Puedo probarlo?
I'd like (three) pieces.,Quisiera (tres) piezas.
I'd like a slice.,Quisiera una rebanada.
I'd like that one.,Quisiera ése/ésa.
I'd like this one.,Quisiera este/esta.
I'd like a bit more/less.,Quisiera un poco más/menos.
That's enough thanks.,"Así está bien, gracias."
Do you have anything cheaper?,¿Tiene algo más barato?
Anything else?,¿Algo más?
There's none left.,Se me terminó.
Where can I find the dairy section?,¿Dónde está la sección de lácteos.
Where can I find the fruit and vegetable section?,¿Dónde está la sección de frutas y verduras?
Do you have vegetarian food?,¿Tienen comida vegetariana?
Is there a vegetarian restaurant near here?,¿Hay un restaurante vegetariano por aquí?
I'm on a special diet.,Estoy a dieta especial.
I don't eat meat.,No como carne.
Dairy and eggs are ok.,Los lácteos y los huevos están bien.
"Could you make me/us a dish without meat, fish, pork or chicken?","¿Podría preparar(me/nos) un plato sin carne, pescado, cerdo ni pollo?"
I love this dish.,Me encanta este platillo.
That was delicious!,¡Estaba delicioso!
What is this?,¿Qué es esto?
