word;answer
The restaurant is closed on Mondays.;El restaurante está cerrado los lunes.
This car is ideal for an urban setting.;Este automóvil es ideal para un entorno urbano.
There is a sporting event at the stadium.;Hay un evento deportivo en el estadio.
I'm watching a series about detectives.;Estoy viendo una serie sobre detectives.
The heart is an organ.;El corazón es un órgano.
There are about a dozen youth associations in the city.;Hay cerca de una docena de asociaciones juveniles en la ciudad.
The city council prohibited the installation of a club in this neighborhood.;El ayuntamiento prohibió la instalación de un club en este barrio.
You should put sun lotion on your shoulders.;Debes ponerte loción solar en los hombros.
I only read book introduction.;Solo leí la introducción del libro.
At certain times, I feel pain in my back.;En determinados momentos, siento dolor en mi espalda.
I'm going to show the city to my family.;Le voy a mostrar la ciudad a mi familia.
The atmosphere is heavily polluted.;La atmósfera está muy contaminada.
The borders are closed.;Las fronteras están cerradas.
It is known that there was a fraud.;Es sabido que hubo fraude.
We are going to sell our house.;Vamos a vender nuestra casa.
There was a controversy on television.;Hubo una polémica en la televisión.
Seat belts save lives.;Los cinturones de seguridad salvan vidas.
Do you want to ride the roller coaster?;¿Quieres subir a la montaña rusa?
Let's start a Scrabble game.;Vamos a iniciar una partida de Scrabble.
Tobacco is a legal drug.;El tabaco es una droga legal.
Alma's enthusiasm is unmatched.;El entusiasmo de Alma es inigualable.
Your clothing brand has a lot of prestige.;Tu marca de ropa tiene mucho prestigio.
Central banks regulate the economy.;Los bancos centrales regulan la economía.
Olivia misses her cousin.;Olivia extraña a su prima.
I don't think the zodiac signs mean anything.;No creo que los signos del zodíaco signifiquen algo.
The president is not going to allow this.;La presidenta no va a permitir esto.
Patrick has a great sensitivity.;Patricio tiene una gran sensibilidad.
It is logical that you feel frustrated.;Es lógico que te sientas frustrada.
Let's go to the bar.;Vamos al bar.
I am an Argentinian, but I am also a Spanish citizen.;Soy argentino, pero también soy ciudadano español.
They are both specialists in microbiology.;Ellos dos son especialistas en microbiología.
This wallet belongs to someone named Sergio Gutiérrez.;Esta cartera pertenece a alguien llamado Sergio Gutiérrez.
You must maintain your dignity.;Debes mantener tu dignidad.
We are united in this moment of adversity.;Estamos unidas en este momento de adversidad.
It is convenient to wait a while before exercising.;Es conveniente que esperes un rato antes de hacer ejercicio.
Mr. Martínez is an important businessman.;El señor Martínez es un importante empresario.
My grandparents call me every Saturday.;Mis abuelos me llaman todos los sábados.
The Internet generated a radical change in social relations.;Internet generó un cambio radical en las relaciones sociales.
I am taking the medicine the doctor prescribed.;Estoy tomando la medicina que me recetó el médico.
The Olympic Games are going to start soon.;Los Juegos Olímpicos van a comenzar en breve.
Laws are necessary.;Las leyes son necesarias.
There is a store on the corner.;Hay una tienda en la esquina.
My uncles are tomato producers.;Mis tíos son productores de tomates.
Inés wants to wear her pink dress.;Inés quiere ponerse su vestido rosa.
The teacher highlights the good results of the experiment.;El profesor destaca los buenos resultados del experimento.
The cat has a long, furry tail.;El gato tiene una cola larga y peluda.
The minister ordered the immediate mobilization of resources.;La ministra ordenó la movilización inmediata de los recursos.
Mexicans love good food.;Los mexicanos aman la buena comida.
Those two are my partners.;Ellos dos son mis socios.
Sales in June have been very low.;Las ventas en junio han sido muy bajas.
Opinions are not data.;Las opiniones no son datos.
I think my watch is broken.;Creo que mi reloj está roto.
Do you understand the risks of this investment?;¿Comprendes los riesgos de la inversión?
I have a new goal for this year.;Tengo una nueva meta para este año.
This laboratory does not experiment with animals.;Este laboratorio no experimenta con animales.
We will divide the profits in half.;Repartiremos las ganancias a medias.
The scholar year begins in March in the southern hemisphere.;El año escolar comienza en marzo en el hemisferio sur.
That's a traditional mexican dance.;Esa es una danza tradicional mexicana.
The fire was terrible.;El incendio fue terrible.
Your sweater is very soft.;Tu suéter es muy suave.
Jimena is a very active girl.;Jimena es una chica muy activa.
