"I eat";"(yo) como"
"we eat";"(nosotros) comemos"
"he drinks";"(él) bebe"
"you drink [sing, inf]";"(tú) bebes"
"you learn [sing, formal]";"(usted) aprende"
"you learn [pl]";"(ustedes) aprenden"
"I understand";"(yo) comprendo"
"she understands";"(ella) comprende"
"you respond [sing, inf]";"(tú) respondes"
"we respond";"(nosotros) respondemos"
"you sell [sing, formal]";"(usted) vende"
"you sell [pl]";"(ustedes) venden"
"he runs";"(él) corre"
"I run";"(yo) corro"
"you read [sing, inf]";"(tú) lees"
"we read";"(nosotros) leemos"
"she believes";"(ella) cree"
"you believe [pl]";"(ustedes) creen"
"I sweep";"(yo) barro"
"you sweep [sing, formal]";"(usted) barre"
"he breaks";"(él) rompe"
"we break";"(nosotros) rompemos"
"you fear [sing, inf]";"(tú) temes"
"you fear [pl]";"(ustedes) temen"
"I hide";"(yo) escondo"
"she hides";"(ella) esconde"
"you surprise [sing, formal]";"(usted) sorprende"
"we surprise";"(nosotros) sorprendemos"
"I should";"(yo) debo"
"you should [pl]";"(ustedes) deben"
"he promises";"(él) promete"
"you promise [sing, inf]";"(tú) prometes"
"we put in";"(nosotros) metemos"
"you put in [sing, formal]";"(usted) mete"
"I depend";"(yo) dependo"
"you depend [pl]";"(ustedes) dependen"
"it happens";"(él) sucede"
"we happen";"(nosotros) sucedemos"
"you protect [sing, inf]";"(tú) proteges"
"I protect";"(yo) protejo"
"she sews";"(ella) cose"
"you sew [pl]";"(ustedes) cosen"
"he coughs";"(él) tose"
"you cough [sing, formal]";"(usted) tose"
"I absorb";"(yo) absorbo"
"we absorb";"(nosotros) absorbemos"
"you suspend [sing, inf]";"(tú) suspendes"
"you suspend [pl]";"(ustedes) suspenden"
"I commit";"(yo) cometo"
"she commits";"(ella) comete"
"you turn on [sing, formal]";"(usted) prende"
"we turn on";"(nosotros) prendemos"
"I go back";"(yo) retrocedo"
"you go back [pl]";"(ustedes) retroceden"
"he proceeds";"(él) procede"
"you proceed [sing, inf]";"(tú) procedes"
"we correspond";"(nosotros) correspondemos"
"you correspond [sing, formal]";"(usted) corresponde"
"I possess";"(yo) poseo"
"you possess [pl]";"(ustedes) poseen"
"you exceed [sing, inf]";"(tú) excedes"
"he exceeds";"(él) excede"
"I offend";"(yo) ofendo"
"you offend [sing, formal]";"(usted) ofende"
