"id";"word";"answer"
"1";"I like the music.";"A mí me gusta la música."
"2";"She walks to school.";"Ella camina a la escuela."
"3";"She buys a jacket.";"Ella compra una chaqueta."
"4";"She says the truth.";"Ella dice la verdad."
"5";"She is a doctor.";"Ella es doctora."
"6";"She takes photos.";"Ella fotografía flores."
"7";"She knows the answer.";"Ella sabe la respuesta."
"8";"They sing a song.";"Ellos cantan una canción."
"9";"They give money.";"Ellos dan dinero."
"10";"They read a book.";"Ellos leen un libro."
"11";"They need water.";"Ellos necesitan agua."
"12";"They shower quickly.";"Ellos se duchan rápido."
"13";"They go to the park.";"Ellos van al parque."
"14";"They see the mountains.";"Ellos ven las montañas."
"15";"They come early.";"Ellos vienen temprano."
"16";"They visit the museum.";"Ellos visitan el museo."
"17";"We know the city.";"Nosotros conocemos la ciudad."
"18";"We sleep well.";"Nosotros dormimos bien."
"19";"We write a letter.";"Nosotros escribimos una carta."
"20";"We swim in the pool.";"Nosotros nadamos en la alberca."
"21";"We pay the bill.";"Nosotros pagamos la cuenta."
"22";"We put the keys here.";"Nosotros ponemos las llaves aquí."
"23";"We program computers.";"Nosotros programamos computadoras."
"24";"We have a car.";"Nosotros tenemos un carro."
"25";"We live in the city.";"Nosotros vivimos en la ciudad."
"26";"You drink milk.";"Tú bebes leche."
"27";"You understand the idea.";"Tú entiendes la idea."
"28";"You ask a question.";"Tú preguntas una pregunta."
"29";"You want a coffee.";"Tú quieres un café."
"30";"You go out at night.";"Tú sales en la noche."
"31";"I cook rice.";"Yo cocino arroz."
"32";"I eat an apple.";"Yo como una manzana."
"33";"I am at home.";"Yo estoy en casa."
"34";"I speak Spanish.";"Yo hablo español."
"35";"I exercise every day.";"Yo hago ejercicio todos los días."
"36";"I do my work.";"Yo hago mi trabajo."
"37";"I carry the box.";"Yo llevo la caja."
"38";"I drive the car.";"Yo manejo el carro."
"39";"I text my friend.";"Yo texteo a mi amigo."
"40";"I play the guitar.";"Yo toco la guitarra."
"41";"I take the bus.";"Yo tomo el camión."
"42";"I bring the bag.";"Yo traigo la bolsa."
"43";"I travel to Mexico.";"Yo viajo a México."
"44";"Do they like the movie?";"¿A ellos les gusta la película?"
"45";"Do they cook soup?";"¿Ellos cocinan sopa?"
"46";"Do they eat bread?";"¿Ellos comen pan?"
"47";"Are they tired?";"¿Ellos están cansados?"
"48";"Do they speak English?";"¿Ellos hablan inglés?"
"49";"Do they exercise here?";"¿Ellos hacen ejercicio aquí?"
"50";"Do they do exercises?";"¿Ellos hacen ejercicios?"
"51";"Do they carry bags?";"¿Ellos llevan bolsas?"
"52";"Do they drive often?";"¿Ellos manejan seguido?"
"53";"Do they text a lot?";"¿Ellos textean mucho?"
"54";"Do they play the piano?";"¿Ellos tocan el piano?"
"55";"Do they take the train?";"¿Ellos toman el tren?"
"56";"Do they bring food?";"¿Ellos traen comida?"
"57";"Do they travel a lot?";"¿Ellos viajan mucho?"
"58";"Do we drink coffee?";"¿Nosotros bebemos café?"
"59";"Do we understand the rules?";"¿Nosotros entendemos las reglas?"
"60";"Do we ask for directions?";"¿Nosotros preguntamos por direcciones?"
"61";"Do we want more?";"¿Nosotros queremos más?"
"62";"Do we go out today?";"¿Nosotros salimos hoy?"
"63";"Do you walk every day? [sing]";"¿Tú caminas todos los días?"
"64";"Do you sing well? [sing]";"¿Tú cantas bien?"
"65";"Do you buy shoes? [sing]";"¿Tú compras zapatos?"
"66";"Do you say that often? [sing]";"¿Tú dices eso seguido?"
"67";"Do you sleep early? [sing]";"¿Tú duermes temprano?"
"68";"Are you a student? [sing]";"¿Tú eres estudiante?"
"69";"Do you read the news? [sing]";"¿Tú lees las noticias?"
"70";"Do you wear glasses? [sing]";"¿Tú llevas lentes?"
"71";"Do you swim here? [sing]";"¿Tú nadas aquí?"
"72";"Do you need help? [sing]";"¿Tú necesitas ayuda?"
"73";"Do you put the book there? [sing]";"¿Tú pones el libro ahí?"
"74";"Do you know this? [sing]";"¿Tú sabes esto?"
"75";"Do you go to school? [sing]";"¿Tú vas a la escuela?"
"76";"Do you come here often? [sing]";"¿Tú vienes aquí seguido?"
"77";"Do you visit your family? [sing]";"¿Tú visitas a tu familia?"
"78";"Do you live near here? [sing]";"¿Tú vives cerca de aquí?"
"79";"Do you shop here? [sing, formal]";"¿Usted compra aquí?"
"80";"Do you know that person? [sing, formal]";"¿Usted conoce a esa persona?"
"81";"Do you give classes? [sing, formal]";"¿Usted da clases?"
"82";"Do you write emails? [sing, formal]";"¿Usted escribe correos?"
"83";"Do you take pictures? [sing, formal]";"¿Usted fotografía paisajes?"
"84";"Do you call your family? [sing, formal]";"¿Usted llama a su familia?"
"85";"Do you arrive early? [sing, formal]";"¿Usted llega temprano?"
"86";"Do you hear the noise? [sing, formal]";"¿Usted oye el ruido?"
"87";"Do you pay the rent? [sing, formal]";"¿Usted paga la renta?"
"88";"Do you program apps? [sing, formal]";"¿Usted programa aplicaciones?"
"89";"Can you help me? [sing, formal]";"¿Usted puede ayudarme?"
"90";"Do you shower now? [sing, formal]";"¿Usted se ducha ahora?"
"91";"Do you have time? [sing, formal]";"¿Usted tiene tiempo?"
"92";"Do you see the river? [sing, formal]";"¿Usted ve el río?"
"93";"He shops for clothes.";"Él compra ropa."
"94";"He calls his friend.";"Él llama a su amigo."
"95";"He arrives on time.";"Él llega a tiempo."
"96";"He wears a coat.";"Él lleva un abrigo."
"97";"He hears the music.";"Él oye la música."
"98";"He can swim.";"Él puede nadar."
