"Title: The Busy Morning";"La Mañana Ocupada"
"You owe your friend a favor.";"Debes un favor a tu amigo."
"I depend on my notes to stay organized.";"Dependo de mis apuntes para mantenerme organizado."
"They hide the keys under a plant.";"Ellos esconden las llaves debajo de una planta."
"She exceeds her usual speed when she walks.";"Ella excede su velocidad normal cuando camina."
"We read the schedule on the wall.";"Leemos el horario en la pared."
"He puts the documents in a folder.";"Él mete los documentos en una carpeta."
"I hope I don’t offend anyone with my comment.";"Espero no ofender a nadie con mi comentario."
"The office possesses new computers.";"La oficina posee computadoras nuevas."
"They turn on the lights at exactly eight.";"Ellos prenden las luces exactamente a las ocho."
"Later we are going to promise to arrive earlier.";"Más tarde vamos a prometer llegar más temprano."
