"Title: The Weekend Plan";"El Plan para el Fin de Semana"
"We save money during the week for a small trip.";"Ahorramos dinero durante la semana para un viajecito."
"My friends rent a cabin near the lake.";"Mis amigos rentan una cabaña cerca del lago."
"I help them carry the bags.";"Los ayudo a cargar las bolsas."
"People dance outside because the weather is nice.";"La gente baila afuera porque el clima está bonito."
"We look for a good place to sit.";"Buscamos un buen lugar para sentarnos."
"The sky changes from blue to orange.";"El cielo cambia de azul a naranja."
"We walk along the water slowly.";"Caminamos junto al agua despacio."
"They cancel the boat ride because it gets windy.";"Cancelan el paseo en lancha porque se pone ventoso."
"We cook simple food on a small stove.";"Cocinamos comida sencilla en una estufita."
"At night we buy hot chocolate from a vendor.";"En la noche compramos chocolate caliente de un vendedor."
