word;answer
You speak clearly. [sing, inf];[Tú] hablas claramente.
I walk to the store.;[Yo] camino a la tienda.
She studies every afternoon.;[Ella] estudia cada tarde.
We work together on this project.;[Nosotros] trabajamos juntos en este proyecto.
They call their friends often.;[Ellos] llaman a sus amigos a menudo.
You drink enough water. [sing, formal];[Usted] toma suficiente agua.
I watch the sunrise every morning.;[Yo] miro el amanecer cada mañana.
You buy fresh vegetables. [pl, formal];[Ustedes] compran verduras frescas.
He cooks dinner for his family.;[Él] cocina la cena para su familia.
We clean the house on weekends.;[Nosotros] limpiamos la casa los fines de semana.
I help my neighbor with her groceries.;[Yo] ayudo a mi vecina con sus compras.
You use this tool very well. [sing, inf];[Tú] usas esta herramienta muy bien.
She pays the bills on time.;[Ella] paga las cuentas a tiempo.
We visit our grandparents on Sundays.;[Nosotros] visitamos a nuestros abuelos los domingos.
They wait outside the building.;[Ellos] esperan afuera del edificio.
I enter the room quietly.;[Yo] entro al cuarto en silencio.
You carry the heavy box. [sing, inf];[Tú] llevas la caja pesada.
He needs more information.;[Él] necesita más información.
We ask many questions.;[Nosotros] preguntamos muchas cosas.
You travel often for work. [pl, formal];[Ustedes] viajan a menudo por trabajo.
I dance when I hear this song.;[Yo] bailo cuando escucho esta canción.
You jump over the small puddle. [sing, inf];[Tú] saltas sobre el charco pequeño.
She sends the documents today.;[Ella] manda los documentos hoy.
We change our plans frequently.;[Nosotros] cambiamos nuestros planes con frecuencia.
They answer quickly during meetings.;[Ellos] contestan rápido durante las reuniones.
I eat breakfast early.;[Yo] como el desayuno temprano.
You drink tea in the evenings. [sing, inf];[Tú] bebes té por las tardes.
He learns new skills every month.;[Él] aprende nuevas habilidades cada mes.
We understand the instructions clearly.;[Nosotros] comprendemos las instrucciones claramente.
They sell fruit in the market.;[Ellos] venden fruta en el mercado.
I respond to emails immediately.;[Yo] respondo los correos de inmediato.
You run along the river path. [sing, inf];[Tú] corres por el sendero del río.
She reads before going to bed.;[Ella] lee antes de dormir.
We believe your explanation.;[Nosotros] creemos tu explicación.
You promise to arrive early. [pl, formal];[Ustedes] prometen llegar temprano.
I should finish this today.;[Yo] debo terminar esto hoy.
You possess great patience. [sing, inf];[Tú] posees mucha paciencia.
He fears the dark.;[Él] teme la oscuridad.
We put the keys on the table.;[Nosotros] metemos las llaves en la mesa.
They sweep the patio every morning.;[Ellos] barren el patio cada mañana.
I break the chocolate into pieces.;[Yo] rompo el chocolate en pedazos.
You hide the gift in the closet. [sing, inf];[Tú] escondes el regalo en el clóset.
