"id";"word";"answer"
"1";"Title: The Office Morning";"La Mañana en la Oficina"
"2";"I write a short email to my boss.";"Escribo un correo corto a mi jefe."
"3";"They print the new schedule.";"Imprimen el horario nuevo."
"4";"You insist on checking every detail.";"Insistes en revisar cada detalle."
"5";"We omit the extra pages to save paper.";"Omitimos las páginas extra para ahorrar papel."
"6";"He departs for a quick meeting.";"Él parte a una reunión rápida."
"7";"The company allows flexible hours.";"La empresa permite horarios flexibles."
"8";"She receives an important package.";"Ella recibe un paquete importante."
"9";"I go up the stairs because the elevator is full.";"Subo las escaleras porque el elevador está lleno."
"10";"Coworkers join us for a short break.";"Compañeros de trabajo se unen a nosotros para un descanso corto."
"11";"Later we are going to live a calmer afternoon.";"Más tarde vamos a vivir una tarde más tranquila."
