"id","word","answer"
"1","Sorry. [regret]","Lo siento."
"2","Sorry. [apology]","Perdón."
"3","Excuse me. [attention, apology]","Disculpe."
"4","Pardon? [misunderstanding]","¿Mande?"
"5","Excuse me. [asking to get by, to pass]","Con permiso."
"6","I'm pleased to meet you.","Mucho gusto."
"7","This is my husband.","Este es mi esposo."
"8","This is my partner.","Este es mi pareja."
"9","This is my companion.","Este es mi compañero."
"10","This is my friend.","Este es mi amigo."
"11","This is my buddy.","Este es mi compadre."
"12","Do you live here?","¿Vive aquí?"
"13","Where are you going?","¿A dónde va?"
"14","What are you doing?","¿Qué hace?"
"15","What's this called?","¿Cómo se llama ésto?"
"16","I'm here with my partner.","Estoy aquí con mi pareja."
"17","How long are you here for?","¿Cuánto tiempo va a estar aquí?"
"18","I'm here for two days/weeks.","Voy a estar dos días/semanas."
"19","Do you like it here?","¿Le gusta este lugar?"
"20","I love it here.","Me encanta este lugar."
"21","I'm here on vacation.","Estoy aquí de vacaciones."
"22","Where are you from?","¿De dónde es?"
"23","I'm/We're from the United States.","Soy/Somos de los Estados Unidos."
"24","How old are you?","¿Cuántos años tiene?"
"25","My birthday is on June 22nd.","Mi cumpleaños es el veintidós de junio."
"26","I am seventy years old.","Tengo setenta años."
"27","You are much younger than you look.","Eres más joven de lo que pareces."
"28","I'm much younger than I look.","Soy más joven de lo que parezco."
"29","What is your occupation?","¿A qué se dedica?"
"30","I am retired.","Estoy jubilado."
"31","Are you married?","¿Está casado?"
"32","I am married.","Soy casado."
"33","When is your birthday?","¿Cuándo es su tu cumpleaños?"
"34","What is your email address?","¿Cuál es tu dirección de email?"
"35","What is your cellphone number?","¿Cuál es tu número de celular?"
"36","I'll send you the photos.","Te mandaré las fotos."
"37","Keep in touch.","¡Mantente en contacto!"
"38","It's been great meeting you.","Ha sido un placer conocerte."
"39","I'm going to miss you.","¡Te voy a extrañar!"
"40","What do you like to do in your spare time?","¿Qué te gusta hacer en tu tiempo libre?"
"41","Do you like to travel?","¿Te gusta viajar?"
"42","I don't like to cook?","No me gusta cocinar."
"43","Do you like to listen to music?","¿Te gusta escuchar música?"
"44","What music do you like?","¿Qué música te gusta?"
"45","What type of movies do you like?","¿Qué tipo de películas te gustan?"
"46","What kind of books do you read?","¿Qué tipo de libros lees?"
"47","Are you cold?","¿Tienes frío?"
"48","Are you hungry?","¿Tienes hambre?"
"49","Are you sleepy?","¿Tienes sueño?"
"50","Are you thirsty?","¿Tienes sed?"
"51","I'm a little sad.","Estoy un poco triste."
"52","I'm very happy.","Estoy muy feliz."
"53","Did you like it?","¿Te gustó?"
"54","What did you think of it?","¿Qué pensaste de eso?"
"55","I thought it was beautiful.","Pienso que fue hermoso."
"56","I thought it was excellent.","Pienso que fue excelente."
"57","I thought it was horrible.","Pienso que fue horrible."
"58","What time shall we meet?","¿A qué hora nos vemos?"
"59","Let's meet at eight o'clock.","Nos vemos a las ocho."
"60","Where will we meet?","¿Dónde nos vemos?"
"61","Let's meet at the entrance.","Nos vemos en la entrada."
"62","I'm looking forward to it.","Tengo muchas ganas de ir."
"63","Is it safe?","¿Es seguro?"
"64","I'm lost.","Estoy perdido."
"65","What's the weather like?","¿Cómo está el clima?"
"66","It's cloudy.","Está nublado."
"67","It's sunny.","Está soleado."
"68","It's warm.","Está cálido."
"69","It's windy.","Está ventoso."
"70","It's the dry season.","Es la temporada seca."
"71","It's the rainy season.","Es la temporada de lluvias."
"72","Is the water ok to drink?","¿Se puede tomar el agua?"
"73","It's beautiful.","Es hermoso."
"74","Is this a local custom?","¿Es una costumbre local?"
"75","I'm not used to this.","No estoy acostumbrado a esto. "
