"id","word","answer"
"1","14","catorce"
"2","0","cero"
"3","100","cien"
"4","105","ciento cinco"
"5","150","ciento cincuenta"
"6","140","ciento cuarenta"
"7","104","ciento cuatro"
"8","110","ciento diez"
"9","102","ciento dos"
"10","190","ciento noventa"
"11","109","ciento nueve"
"12","180","ciento ochenta"
"13","108","ciento ocho"
"14","106","ciento seis"
"15","160","ciento sesenta"
"16","170","ciento setenta"
"17","107","ciento siete"
"18","130","ciento treinta"
"19","103","ciento tres"
"20","101","ciento uno"
"21","120","ciento veinte"
"22","5","cinco"
"23","55","cincuenta y cinco"
"24","54","cincuenta y cuatro"
"25","53","cincuenta y tres"
"26","42","cuarenta y dos"
"27","43","cuarenta y tres"
"28","41","cuarenta y uno"
"29","4","cuatro"
"30","19","diecinueve"
"31","18","dieciocho"
"32","17","diecisiete"
"33","16","dieciséis"
"34","10","diez"
"35","12","doce"
"36","2","dos"
"37","200","doscientos"
"38","250","doscientos cincuenta"
"39","1000","mil"
"40","900","novecientos"
"41","950","novecientos cincuenta"
"42","90","noventa"
"43","92","noventa y dos"
"44","99","noventa y nueve"
"45","98","noventa y ocho"
"46","91","noventa y uno"
"47","9","nueve"
"48","89","ochenta y nueve"
"49","88","ochenta y ocho"
"50","87","ochenta y siete"
"51","8","ocho"
"52","11","once"
"53","15","quince"
"54","6","seis"
"55","65","sesenta y cinco"
"56","66","sesenta y seis"
"57","67","sesenta y siete"
"58","78","setenta y ocho"
"59","76","setenta y seis"
"60","77","setenta y siete"
"61","7","siete"
"62","english","spanish"
"63","13","trece"
"64","30","treinta"
"65","32","treinta y dos"
"66","33","treinta y tres"
"67","31","treinta y uno"
"68","3","tres"
"69","300","trescientos"
"70","350","trescientos cincuenta"
"71","1","uno"
"72","20","veinte"
"73","25","veinticinco"
"74","24","veinticuatro"
"75","22","veintidós"
"76","29","veintinueve"
"77","28","veintiocho"
"78","27","veintisiete"
"79","26","veintiséis"
"80","23","veintitrés"
"81","21","veintiuno"
