"id";"word";"answer"
"1";"blue";"azul"
"2";"green";"verde"
"3";"yellow";"amarillo"
"4";"black";"negro"
"5";"white";"blanco"
"6";"brown";"marrón"
"7";"gray";"gris"
"8";"pink";"rosa"
"9";"purple";"morado"
"10";"orange";"naranja"
"11";"golden";"dorado"
"12";"silver";"plateado"
"13";"colorful";"colorido"
"14";"pale";"pálido"
"15";"bright";"brillante"
"16";"dull";"opaco"
"17";"shiny";"reluciente"
"18";"transparent";"transparente"
"19";"translucent";"traslúcido"
"20";"thick";"grueso"
"21";"thin (object)";"delgado"
"22";"wide";"ancho"
"23";"narrow";"estrecho"
"24";"deep";"profundo"
"25";"shallow";"superficial"
"26";"flat";"plano"
"27";"curved";"curvo"
"28";"round";"redondo"
"29";"square";"cuadrado"
"30";"triangular";"triangular"
"31";"straight";"recto"
"32";"crooked";"torcido"
"33";"soft";"suave"
"34";"hard";"duro"
"35";"rough";"áspero"
"36";"smooth";"liso"
"37";"sticky";"pegajoso"
"38";"slippery";"resbaloso"
"39";"light (weight)";"ligero"
"40";"heavy";"pesado"
"41";"solid";"sólido"
"42";"fragile";"frágil"
"43";"firm";"firme"
"44";"flexible";"flexible"
"45";"rigid";"rígido"
"46";"wet";"mojado"
"47";"dry";"seco"
"48";"humid";"húmedo"
"49";"frozen";"helado"
"50";"burnt";"quemado"
"51";"raw";"crudo"
"52";"cooked";"cocido"
"53";"ripe";"maduro"
"54";"unripe";"verde"
"55";"fresh";"fresco"
"56";"rotten";"podrido"
"57";"juicy";"jugoso"
"58";"tender";"tierno"
"59";"crispy";"crujiente"
"60";"salty";"salado"
"61";"sweet";"dulce"
"62";"sour";"agrio"
"63";"bitter";"amargo"
"64";"spicy";"picante"
"65";"delicious";"delicioso"
"66";"tasty";"sabroso"
"67";"disgusting";"asqueroso"
"68";"edible";"comestible"
"69";"inedible";"incomible"
"70";"alive";"vivo"
"71";"dead";"muerto"
"72";"healthy";"saludable"
"73";"sick";"enfermo"
"74";"injured";"herido"
"75";"healed";"curado"
"76";"pregnant";"embarazada"
"77";"blind";"ciego"
"78";"deaf";"sordo"
"79";"mute";"mudo"
"80";"weak (health)";"delicado"
"81";"strong (health)";"robusto"
"82";"thin (person)";"delgado"
"83";"fat (person)";"gordo"
"84";"skinny";"flaco"
"85";"fit";"en forma"
"86";"tall";"alto"
"87";"short (height)";"bajo"
"88";"handsome";"guapo"
"89";"pretty";"lindo"
"90";"ugly";"feo"
"91";"beautiful";"hermoso"
"92";"cute";"bonito"
"93";"attractive";"atractivo"
"94";"unattractive";"poco atractivo"
"95";"clean-cut";"aseado"
"96";"messy";"desordenado"
"97";"organized";"organizado"
"98";"disorganized";"desorganizado"
"99";"neat";"ordenado"
"100";"dirty";"sucio"
