"id";"word";"answer"
"1";"Now he does not look for reasons to come to my office.";"Ahora él no busca razones para venir a mi oficina."
"2";"Now he prepares the invoices and deposits for the week.";"Ahora él prepara las facturas y los depósitos para la semana."
"3";"After all, I am not going to call the office; it is better to go greet my colleagues.";"Al fin y al cabo, no voy a llamar a la oficina; es mejor ir a saludar a mis colegas."
"4";"He eats lunch quickly to return to his computer.";"Almuerza rápidamente para volver a su computadora."
"5";"He almost does not rest.";"Casi no descansa."
"6";"During the day, if my boss wants to talk to me, he does not leave his office.";"Durante el día, si mi jefe quiere hablar conmigo, él no sale de su oficina."
"7";"It is twelve o'clock.";"Son las doce."
"8";"I have much to do at home, but if I make a great effort, I can finish before five.";"Tengo mucho que hacer en la casa, pero si hago un gran esfuerzo, puedo terminar antes de las cinco."
"9";"All the employees leave at five, but he always works until six.";"Todos los empleados salen a las cinco, pero él siempre trabaja hasta las seis."
"10";"I no longer hear his beautiful and expressive voice.";"Ya no escucho su voz bella y expresiva."
"11";"He no longer talks to me face to face.";"Ya no habla conmigo cara a cara."
"12";"He no longer comes to my little room to chat with me, nor do we discuss the news of the day, nor do we have coffee together.";"Ya no viene a mi cuartito para conversar conmigo, ni discutimos las noticias del día, ni tomamos un café juntos."
"13";"No!";"¡No!"
"14";"He is only twenty steps away from my office.";"Él está a solo veinte pasos de mi oficina."
"15";"He sends an email from his office.";"Él manda un correo electrónico desde su oficina."
