"id","word","answer"
"1","I will buy a cake for you.","Le compraré un pastel."
"2","I will save a cake for her.","Le guardaré un pastel."
"3","I will prepare a cake for her.","Le prepararé un pastel."
"4","I will prepare a cake for him.","Le prepararé un pastel."
"5","I will bring a cake for him.","Le traeré un pastel."
"6","I will bring a cake for her.","Le traeré un pastel."
"7","I am going to buy a cake for him.","Le voy a comprar un pastel. [Voy a comprarle un pastel.]"
"8","I am going to save a cake for you.","Le voy a guardar un pastel. [Voy a guardarle un pastel.]"
"9","I am going to save a cake for her.","Le voy a guardar un pastel. [Voy a guardarle un pastel.]"
"10","I am going to prepare a cake for him.","Le voy a preparar un pastel. [Voy a prepararle un pastel.]"
"11","I am going to bring a cake for her.","Le voy a traer un pastel. [Voy a traerle un pastel.]"
"12","I will buy a cake for them. [F]","Les compraré un pastel."
"13","I will buy a cake for you all.","Les compraré un pastel."
"14","I will buy a cake for them.","Les compraré un pastel."
"15","I will save a cake for them.","Les guardaré un pastel."
"16","I am going to buy a cake for them. [F]","Les voy a comprar un pastel. [Voy a comprarles un pastel.]"
"17","I am going to buy a cake for you all.","Les voy a comprar un pastel. [Voy a comprarles un pastel.]"
"18","I am going to buy a cake for them.","Les voy a comprar un pastel. [Voy a comprarles un pastel.]"
"19","I am going to prepare a cake for them.","Les voy a preparar un pastel. [Voy a prepararles un pastel.]"
"20","I will open it for you. [future tense, formal, singular]","Lo abriré para usted."
"21","I will open it for you all. [future tense, formal, plural]","Lo abriré para ustedes."
"22","I will look for it for them. [future tense, third person, plural]","Lo buscaré para ellos."
"23","I will look for it for us. [future tense, first person, plural]","Lo buscaré para nosotros."
"24","I will close it for you. [future tense, informal, singular]","Lo cerraré para ti."
"25","I will close it for him. [future tense, third person, singular]","Lo cerraré para él."
"26","I will write it for us. [future tense, first person, plural]","Lo escribiré para nosotros."
"27","I will write it for you all. [future tense, formal, plural]","Lo escribiré para ustedes."
"28","I will clean it for you. [future tense, informal, singular]","Lo limpiaré para ti."
"29","I will clean it for him. [future tense, third person, singular]","Lo limpiaré para él."
"30","I will carry it for her. [future tense, third person, singular]","Lo llevaré para ella."
"31","I will carry it for them. [F, future tense, third person, plural]","Lo llevaré para ellas."
"32","I will prepare it for them. [future tense, third person, plural]","Lo prepararé para ellos."
"33","I will prepare it for me. [future tense, first person, singular]","Lo prepararé para mí."
"34","I will bring it for her. [future tense, third person, singular]","Lo traeré para ella."
"35","I will bring it for me. [future tense, first person, singular]","Lo traeré para mí."
"36","I am going to open it for him.","Lo voy a abrir para él. [Voy a abrirlo para él.]"
"37","I am going to look for it for her.","Lo voy a buscar para ella. [Voy a buscarlo para ella.]"
"38","I am going to close it for you all.","Lo voy a cerrar para ustedes. [Voy a cerrarlo para ustedes.]"
"39","I am going to write it for her.","Lo voy a escribir para ella. [Voy a escribirlo para ella.]"
"40","I am going to clean it for us.","Lo voy a limpiar para nosotros. [Voy a limpiarlo para nosotros.]"
"41","I am going to carry it for you all.","Lo voy a llevar para ustedes. [Voy a llevarlo para ustedes.]"
"42","I am going to prepare it for us.","Lo voy a preparar para nosotros. [Voy a prepararlo para nosotros.]"
"43","I am going to bring it for you.","Lo voy a traer para usted. [Voy a traerlo para usted.]"
"44","I will save a cake for me.","Me guardaré un pastel."
"45","I will prepare a cake for me.","Me prepararé un pastel."
"46","I am going to save a cake for me.","Me voy a guardar un pastel. [Voy a guardarme un pastel.]"
"47","I am going to prepare a cake for me.","Me voy a preparar un pastel. [Voy a prepararme un pastel.]"
"48","I will save a cake for us.","Nos guardaré un pastel."
"49","I will bring a cake for us.","Nos traeré un pastel."
"50","I am going to save a cake for us.","Nos voy a guardar un pastel. [Voy a guardarnos un pastel.]"
"51","I am going to bring a cake for us.","Nos voy a traer un pastel. [Voy a traernos un pastel.]"
"52","I will prepare a cake for you. [informal]","Te prepararé un pastel."
"53","I will bring a cake for you. [informal]","Te traeré un pastel."
"54","I am going to prepare a cake for you. [informal]","Te voy a preparar un pastel. [Voy a prepararte un pastel.]"
"55","I am going to bring a cake for you. [informal]","Te voy a traer un pastel. [Voy a traerte un pastel.]"
"56","I am going to open it for them. [F]","Voy a abrirlo para ellas. [Lo voy a abrir para ellas.]"
"57","I am going to look for it for them.","Voy a buscarlo para ellos. [Lo voy a buscar para ellos.]"
"58","I am going to close it for her.","Voy a cerrarlo para ella. [Lo voy a cerrar para ella.]"
"59","I am going to write it for you. [informal]","Voy a escribirlo para ti. [Lo voy a escribir para ti.]"
"60","I am going to clean it for me.","Voy a limpiarlo para mí. [Lo voy a limpiar para mí.]"
"61","I am going to carry it for him.","Voy a llevarlo para él. [Lo voy a llevar para él.]"
"62","I am going to prepare it for them.","Voy a prepararlo para ellos. [Lo voy a preparar para ellos.]"
"63","I am going to bring a cake for her.","Voy a traerle un pastel. [Le voy a traer un pastel.]"
"64","I am going to bring it for me.","Voy a traerlo para mí. [Lo voy a traer para mí.]"
