"id","word","answer"
"1","He opens the store.","Abre la tienda."
"2","They open the door.","Abren la puerta."
"3","You open the window.","Abres la ventana."
"4","We open the door.","Abrimos la puerta."
"5","I open the door.","Abro la puerta."
"6","He drinks water.","Bebe agua."
"7","They eat tacos.","Comen tacos."
"8","You eat tacos.","Comes tacos."
"9","We buy bread.","Compramos pan."
"10","They buy fruit.","Compran fruta."
"11","You buy tortillas.","Compras tortillas."
"12","He writes a note.","Escribe una nota."
"13","You speak Spanish.","Hablas español."
"14","She washes the dishes.","Lava los platos."
"15","We wash the dishes.","Lavamos los platos."
"16","They wash the car.","Lavan el carro."
"17","I wash the car.","Lavo el carro."
"18","She reads the message.","Lee el mensaje."
"19","We read the book.","Leemos el libro."
"20","I read the book.","Leo el libro."
"21","I shower in the morning.","Me baño en la mañana."
"22","I wake up at six.","Me despierto a las seis."
"23","I get up early.","Me levanto temprano."
"24","I sit down here.","Me siento aquí."
"25","I get dressed quickly.","Me visto rápido."
"26","We go to bed late.","Nos acostamos tarde."
"27","We get up early.","Nos levantamos temprano."
"28","We worry about money.","Nos preocupamos por el dinero."
"29","We get ready now.","Nos preparamos ahora."
"30","We sit down together.","Nos sentamos juntos."
"31","They go to bed late.","Se acuestan tarde."
"32","They brush their teeth.","Se cepillan los dientes."
"33","She falls asleep fast.","Se duerme rápido."
"34","She gets up early.","Se levanta temprano."
"35","They get up early.","Se levantan temprano."
"36","They relax at home.","Se relajan en casa."
"37","You (formal) sit here.","Se sienta aquí."
"38","He sits down.","Se sienta."
"39","They sit down.","Se sientan."
"40","He feels tired.","Se siente cansado."
"41","You brush your teeth.","Te cepillas los dientes."
"42","You wake up late.","Te despiertas tarde."
"43","You get ready now.","Te preparas ahora."
"44","You relax at home.","Te relajas en casa."
"45","You sit down there.","Te sientas allí."
"46","We drink coffee.","Tomamos café."
"47","I drink coffee.","Tomo café."
"48","They watch TV.","Ven la tele."
"49","I see the teacher.","Veo al maestro."
"50","You watch TV.","Ves la tele."
