"Hey, Carlos! Long time!";"¡Hola, Carlos! ¡Cuánto tiempo!"
"David! Yes, a long time.";"¡David! Sí, mucho tiempo."
"How are you?";"¿Cómo estás?"
"Good, thanks. And you?";"Bien, gracias. ¿Y tú?"
"Good too.";"Bien también."
"What are you doing these days?";"¿Qué haces estos días?"
"Work and normal things.";"Trabajo y cosas normales."
"Ah, yes.";"Ah, sí."
"And you?";"¿Y tú?"
"Same, work.";"Igual, trabajo."
"Nice to see you.";"Qué gusto verte."
"Same here.";"Igualmente."
"Let’s talk later.";"A ver si hablamos luego."
"Yes, sure.";"Sí, claro."
