"id","word","answer"
"1","affectionate","cariñoso"
"2","amusing","gracioso"
"3","and","y"
"4","April","abril"
"5","archeologist","la arqueóloga"
"6","Are there newspapers in this store?","¿Hay periódicos en esta tienda?"
"7","Are there parties on Saturdays?","¿Hay fiestas los sábados?"
"8","Are there red tomatoes in this market?","¿Hay tomates rojos en este mercado?"
"9","August","agosto"
"10","award, prize","el premio"
"11","beautiful","bello"
"12","because","porque"
"13","blind","ciego"
"14","but","pero"
"15","dangerous","peligroso"
"16","deaf","sordo"
"17","December","diciembre"
"18","deep","hondo"
"19","during","durante"
"20","elegant","elegante"
"21","excited","emocionado"
"22","exciting","emocionante"
"23","faithful","fiel"
"24","February","febrero"
"25","free","libre"
"26","Friday, on Friday","el viernes"
"27","Fridays, on Fridays","los viernes"
"28","friendly","amistoso"
"29","from, of","de"
"30","funny","cómico[a]"
"31","hard","duro"
"32","heavy, dull","pesado"
"33","How are the boys?","¿Cómo están los muchachos?"
"34","How are you?","¿Cómo estás tú?"
"35","How many cats are there in the city?","¿Cuántos gatos hay en la ciudad?"
"36","How many stars are there in the sky?","¿Cuántas estrellas hay en el cielo?"
"37","How many?","¿Cuántos?, ¿Cuántas?"
"38","How much does it cost?","¿Cuánto cuesta?"
"39","How much is it worth?","¿Cuánto vale?"
"40","How much is it?","¿Cuánto es?"
"41","How much?","¿Cuánto?"
"42","How?","¿Cómo?"
"43","if","si"
"44","in, on","en"
"45","Is there a blue lamp in the house?","¿Hay una lámpara azul en la casa?"
"46","Is there a book in the bathroom?","¿Hay un libro en el baño?"
"47","Is there a brown table in the room?","¿Hay una mesa marrón en el cuarto?"
"48","Is there a hotel in the city?","¿Hay un hotel en la ciudad?"
"49","January","enero"
"50","judge","el jurado"
"51","July","julio"
"52","June","junio"
"53","kind","amable"
"54","lax","flojo"
"55","long","largo"
"56","low, short [in height]","bajo"
"57","March","marzo"
"58","May","mayo"
"59","Monday, on Monday","el lunes"
"60","Mondays, on Mondays","los lunes"
"61","narrow","estrecho"
"62","new","nuevo"
"63","November","noviembre"
"64","October","octubre"
"65","old, ancient","antiguo"
"66","or","o"
"67","politician","el político"
"68","poverty","la pobreza"
"69","proud","orgulloso"
"70","rapid, fast","rápido"
"71","relaxing","relajante"
"72","Saturday, on Saturday","el sábado"
"73","Saturdays, on Saturdays","los sábados"
"74","September","septiembre"
"75","short [in length]","corto"
"76","simple","sencillo"
"77","slow","lento"
"78","soft","suave"
"79","special","especial"
"80","strange","raro"
"81","Sunday, on Sunday","el domingo"
"82","Sundays, on Sundays","los domingos"
"83","sweet","dulce"
"84","tall","alto"
"85","the afternoon","la tarde"
"86","the airplane","el avión"
"87","the autumn, the fall","el otoño"
"88","the avenue","la avenida"
"89","the baggage","el equipaje"
"90","the ballpoint pen","el bolígrafo"
"91","the ballpoint pen","el lapicero"
"92","the beach","la playa"
"93","the birthday","el cumpleaños"
"94","the bookstore","la librería"
"95","the building","el edificio"
"96","the bus","el bus"
"97","the car","el coche"
"98","the check, the bill","la cuenta"
"99","the child","el niño"
"100","the city","la ciudad"
"101","the classroom","el salón"
"102","the country","el país"
"103","the countryside","el campo"
"104","the day","el día"
"105","the door","la puerta"
"106","the dream","el sueño"
"107","the elevator","el ascensor"
"108","the entrance","la entrada"
"109","the exit","la salida"
"110","the film","la película"
"111","the floor","el piso"
"112","the garden","el jardín"
"113","the health","la salud"
"114","the home","el hogar"
"115","the homework","la tarea"
"116","the key","la llave"
"117","the kitchen","la cocina"
"118","the leaf","la hoja"
"119","the letter","la carta"
"120","the library","la biblioteca"
"121","the medicine","la medicina"
"122","the message","el mensaje"
"123","the money","el dinero"
"124","the month","el mes"
"125","the morning","la mañana"
"126","the movies [in general]","el cine"
"127","the music","la música"
"128","the newspaper","el periódico"
"129","the night, the evening","la noche"
"130","the noise","el ruido"
"131","the page","la página"
"132","the paper","el papel"
"133","the park","el parque"
"134","the party","la fiesta"
"135","the pencil","el lápiz"
"136","the people","la gente"
"137","the place","el sitio"
"138","the play","la obra"
"139","the postcard","la tarjeta"
"140","the price","el precio"
"141","the question","la pregunta"
"142","the room","el cuarto"
"143","the room","la habitación"
"144","the school","la escuela"
"145","the sentence","la frase"
"146","the shirt","la camiseta"
"147","the shower","la ducha"
"148","the spring[time]","la primavera"
"149","the stairs","la escalera"
"150","the street","la calle"
"151","the summer","el verano"
"152","the theater","el teatro"
"153","the theme","el tema"
"154","the tree","el árbol"
"155","the trip","el viaje"
"156","the wall","la pared"
"157","the war","la guerra"
"158","the week","la semana"
"159","the winter","el invierno"
"160","the word","la palabra"
"161","the year","el año"
"162","There are no magazines in the hotel.","No hay revistas en el hotel."
"163","There are no telephones here.","No hay teléfonos aquí."
"164","There are stars in the sky.","Hay estrellas en el cielo."
"165","There are three books on the floor.","Hay tres libros en el piso."
"166","There are tigers in the zoo.","Hay tigres en el zoológico."
"167","There are two glasses on the table.","Hay dos vasos en la mesa."
"168","There is a rug in the house.","Hay una alfombra en la casa."
"169","There is a tree in the garden.","Hay un árbol en el jardín."
"170","There is class on Mondays.","Hay clase los lunes."
"171","There is no light in the bathroom.","No hay luz en el baño."
"172","Thursday is Thanksgiving Day.","El jueves es el día de acción de gracias."
"173","Thursday, on Thursday","el jueves"
"174","Thursdays, on Thursdays","los jueves"
"175","town","el pueblo"
"176","tranquil","tranquilo"
"177","Tuesday is St. Valentine's Day.","El martes es el día del amor y la amistad."
"178","Tuesday, on Tuesday","el martes"
"179","Tuesdays, on Tuesdays","los martes"
"180","We are in class on Wednesdays.","Estamos en clase los miércoles."
"181","Wednesday, on Wednesday","el miércoles"
"182","Wednesdays, on Wednesdays","los miércoles"
"183","What [which city] is the capital of Peru?","¿Cuál es la capital de Perú?"
"184","What [which days] are the days of the week?","¿Cuáles son los días de la semana?"
"185","What [which name] is the girl's name?","¿Cuál es el nombre de la niña?"
"186","What [which problem] is the problem?","¿Cuál es el problema?"
"187","What book is on the table?","¿Qué libro está en la mesa?"
"188","What day is today?","¿Qué día es hoy?"
"189","What is communication?","¿Qué es comunicación?"
"190","What is philosophy?","¿Qué es filosofía?"
"191","What is there on the menu?","¿Qué hay en el menú?"
"192","What is this?","¿Qué es esto?"
"193","What?","¿Qué?"
"194","When is the concert?","¿Cuándo es el concierto?"
"195","When is the party?","¿Cuándo es la fiesta?"
"196","When?","¿Cuándo?"
"197","Where are we?","¿Dónde estamos?"
"198","Where are you on Fridays?","¿Dónde estás los viernes?"
"199","Where is the mayor's house?","¿Dónde está la casa del alcalde?"
"200","Where is Thomas on Sundays?","¿Dónde está Tomás los domingos?"
"201","Where?","¿Dónde?"
"202","Which ones?","¿Cuáles?"
"203","Which, which one?","¿Cuál?"
"204","while","mientras"
"205","Who are they?","¿Quiénes son ellos?"
"206","Who is here?","¿Quién está aquí?"
