"id";"word";"answer"
"1";"to abandon, to leave";"abandonar"
"2";"to encompass, comprise";"abarcar"
"3";"to board, get in/on";"abordar"
"4";"to hug, embrace";"abrazar"
"5";"to open";"abrir"
"6";"to absorb, soak up";"absorber"
"7";"to be plentiful";"abundar"
"8";"to bore, tire";"aburrir"
"9";"to abuse";"abusar"
"10";"finish";"acabar"
"11";"to stroke, fondle, caress";"acariciar"
"12";"to consent, agree, accede";"acceder"
"13";"to accelerate";"acelerar"
"14";"to accept";"aceptar"
"15";"to come near";"acercar"
"16";"to clarify, clear up";"aclarar"
"17";"to be/make comfortable";"acomodar"
"18";"to accompany";"acompañar"
"19";"to advise, counsel";"aconsejar"
"20";"to accumulate, amass";"acumular"
"21";"to accuse";"acusar"
"22";"to adapt";"adaptar"
"23";"to move forward";"adelantar"
"24";"to guess, solve";"adivinar"
"25";"to administer, manage";"administrar"
"26";"to admire";"admirar"
"27";"to admit";"admitir"
"28";"to adopt";"adoptar"
"29";"to worship, adore";"adorar"
"30";"to adorn, to decorate";"adornar"
"31";"to affect";"afectar"
"32";"to grasp, clutch";"aferrar"
"33";"to sharpen";"afilar"
"34";"to assert, affirm";"afirmar"
"35";"to loosen";"aflojar"
"36";"to face, confront";"afrontar"
"37";"to duck, bend down";"agachar"
"38";"to grasp, catch";"agarrar"
"39";"to shake, move";"agitar"
"40";"to exhaust, wear out, run out";"agotar"
"41";"to please";"agradar"
"42";"to aggravate";"agravar"
"43";"to add, gather";"agregar"
"44";"to [put in] group";"agrupar"
"45";"to endure, put up with";"aguantar"
"46";"to wait for, await";"aguardar"
"47";"to drown, choke, flood";"ahogar"
"48";"to save (money, time)";"ahorrar"
"49";"to isolate, insulate";"aislar"
"50";"to adjust, tighten";"ajustar"
"51";"to alarm";"alarmar"
"52";"to lodge, harbor";"albergar"
"53";"to reach, catch up with";"alcanzar"
"54";"to plead, argue";"alegar"
"55";"to be/make happy";"alegrar"
"56";"to move away";"alejar"
"57";"to alert, warn";"alertar"
"58";"to feed, support";"alimentar"
"59";"to lighten, relieve, comfort";"aliviar"
"60";"to store, keep";"almacenar"
"61";"to host, accommodate";"alojar"
"62";"to rent, hire";"alquilar"
"63";"to alter, modify";"alterar"
"64";"to alternate";"alternar"
"65";"to allude to";"aludir"
"66";"to life, raise";"alzar"
"67";"to love";"amar"
"68";"to tie, fasten";"amarrar"
"69";"to threaten";"amenazar"
"70";"to gather, accumulate";"amontonar"
