"id","word","answer"
"1","above, on top of, about [a theme or topic]","sobre"
"2","according to","según"
"3","according to you","según tú"
"4","after [in a set of expressions]","tras"
"5","after all","al fin y al cabo"
"6","After running, they are thirsty","Después de correr, ellos tienen sed"
"7","After the meal, he goes home","Después de la comida, él va a casa"
"8","against","contra"
"9","all that is necessary","todo lo necesario"
"10","almost","por poco"
"11","although","aunque"
"12","always","siempre"
"13","anyway","de todos modos"
"14","Are you ready?","¿Están Uds. listos?"
"15","around","alrededor de"
"16","around here","por acá, por aquí"
"17","around there","por allá, por allí"
"18","at least","por lo menos"
"19","at, to","a"
"20","Before swimming, she wants to eat","Antes de nadar, ella quiere comer"
"21","Before the class, they study","Antes de la clase, ellos estudian"
"22","before, in front of [physical location]","delante de"
"23","before, in front of, in the presence of","ante"
"24","behind","detrás de"
"25","between you and me","entre tú y yo"
"26","between, among","entre"
"27","by chance","por casualidad"
"28","Can you pay the bill?","¿Puede Ud. pagar la cuenta?"
"29","close to, right next to","junto a, pegado a"
"30","dark","oscuro"
"31","Do you have something for her?","¿Tienen Uds. algo para ella?"
"32","downward","hacia abajo"
"33","during","durante"
"34","e-mail","el correo electrónico"
"35","Each day, I run for an hour","Cada día, corro por una hora"
"36","Each night, I read for a half hour","Cada noche, leo por media hora"
"37","Elena doesn't cook well, but her husband thinks that it's not such a big deal","Elena no cocina bien, pero su esposo piensa que no es para tanto"
"38","everywhere","por todas partes"
"39","except","excepto"
"40","except","salvo"
"41","except me","salvo yo"
"42","except you and me","menos tú y yo"
"43","except you and me","excepto tú y yo"
"44","face to face, in person","cara a cara"
"45","far from","lejos de"
"46","finally","por fin"
"47","for example","por ejemplo"
"48","for her","para ella"
"49","for him","para él"
"50","for me","para mí"
"51","for now","por ahora"
"52","for the first time","por primera vez"
"53","for them [f.]","para ellas"
"54","for them [m.]","para ellos"
"55","for us","para nosotros"
"56","for you","para vosotros"
"57","for you","para ti"
"58","for you [pl.]","para Uds."
"59","for you [sing.]","para Ud."
"60","for, in order to","para"
"61","free [as in time]","libre"
"62","He answers without knowing anything","Él contesta sin saber nada"
"63","He doesn't even know how to write","Él ni siquiera sabe escribir"
"64","He doesn't have more than one hundred dollars in the bank","Él no tiene más que cien dólares en el banco"
"65","He doesn't understand the lesson","Él no entiende la lección"
"66","He earns $500 per week","Él gana quinientos dólares por semana"
"67","He has a book for the class","Él tiene un libro para la clase"
"68","He has more than 100 dollars in the bank","Él tiene más de cien dólares en el banco"
"69","he is only twenty steps away","está a sólo veinte pasos"
"70","He is sad because of the bad weather","Él está triste por el mal clima"
"71","He never asks anything of anybody","Él jamás pide nada a nadie"
"72","He never dances","Él no baila jamás"
"73","He receives $1,200 per month","Recibe mil doscientos dólares por mes"
"74","He sends messages by e-mail","Él manda mensajes por correo electrónico"
"75","He smokes neither cigarettes nor cigars","Él no fuma ni cigarrillos ni cigarros"
"76","He speaks without thinking","Él habla sin pensar"
"77","I am going to travel for several months","Voy a viajar por varios meses"
"78","I am not a teacher, but rather a student","Yo no soy profesor, sino estudiante"
"79","I don't go either","Yo no voy tampoco"
"80","I don't sing","yo no canto"
"81","I don't want to sing","yo no quiero cantar"
"82","I have a lot to do","tengo mucho que hacer"
"83","I have a question for her","Tengo una pregunta para ella"
"84","I have nothing in my bag","No tengo nada en mi bolsa"
"85","I need the blouse for Friday","Necesito la blusa para el viernes"
"86","I never drink coffee with sugar","Jamás bebo café con azúcar"
"87","I never receive any letter from anybody","No recibo nunca ninguna carta de nadie"
"88","I pay $10 [in exchange] for this dress","Pago diez dólares por este vestido"
"89","I see the river from my window","Veo el río desde mi ventana"
"90","I sing","yo canto"
"91","impressive","impresionante"
"92","In addition to being brave, she is nice","Además de ser valiente, ella es simpática"
"93","in front of, opposite, facing, across from","enfrente de, frente a"
"94","In spite of being sick, he goes to work","A pesar de estar enfermo, él va al trabajo"
"95","in the afternoon","por la tarde"
"96","in the evening","por la noche"
"97","in the morning [imprecise time]","por la mañana"
"98","in, on","en"
"99","including me","incluso yo"
"100","inside of","dentro de"
"101","Instead of running, he prefers to walk","En vez de correr, él prefiere caminar"
"102","Is there someone here?","¿Hay alguien aquí?"
"103","It's cloudy","Hay nubes"
"104","It's cold","Hace frío"
"105","It's cool","Hace fresco"
"106","It's dusty","Hay polvo"
"107","It's foggy","Hay neblina"
"108","It's hot","Hace calor"
"109","It's muddy","Hay lodo"
"110","It's sunny","Hace sol"
"111","It's windy","Hace viento"
"112","Maria plays the piano, but she almost never practices","María toca el piano, pero casi nunca practica"
"113","near","cerca de"
"114","Neither do I","Ni yo tampoco"
"115","neither, either","tampoco"
"116","never","nunca"
"117","never","jamás"
"118","next to","al lado de"
"119","no one","nadie"
"120","No one is coming to my party","No viene nadie a mi fiesta"
"121","No one knows where the train is","Nadie sabe donde está el tren"
"122","No one wants to cook tonight","Nadie quiere cocinar esta noche"
"123","No, there is no one","No, no hay nadie"
"124","No, we have nothing","No, no tenemos nada"
"125","Not now","Ahora no"
"126","not one","ninguno"
"127","Not one boy is going to the beach","Ningún muchacho va a la playa"
"128","Not one person arrives late for the class","Ninguna persona llega tarde para la clase"
"129","Not yet","Todavía no"
"130","nothing","nada"
"131","of course","por supuesto"
"132","of, from, about","de"
"133","on top of","encima de"
"134","outside of","fuera de"
"135","Paula has a house in the mountains, nothing more","Paula tiene una casa en las montañas, nada más"
"136","please","por favor"
"137","She buys neither magazines nor newspapers","Ella no compra ni revistas ni periódicos"
"138","She doesn't understand anything","Ella no entiende nada"
"139","She doesn't want to do anything","Ella no quiere hacer nada"
"140","She doesn't want to talk out of fear","Ella no quiere hablar por miedo"
"141","She never goes to the movies","Ella nunca va al cine"
"142","She never talks; she is very shy","Ella no habla nunca; es muy tímida"
"143","She no longer wants to work","Ella ya no quiere trabajar"
"144","She studies in order to learn","Ella estudia para aprender"
"145","She wants to study Spanish for two years","Ella tiene ganas de estudiar el español por dos años"
"146","She watches television for an hour","Ella mira televisión por una hora"
"147","She works from seven o'clock in the morning until three in the afternoon","Ella trabaja desde las siete de la mañana hasta las tres de la tarde"
"148","since, from [a point of departure in place or time]","desde"
"149","single","soltera"
"150","some","alguno"
"151","someone","alguien"
"152","something","algo"
"153","sometimes","a veces, algunas veces"
"154","Sylvia wants to travel more than anything","Silvia quiere viajar más que nada"
"155","Thanks for the gift","Gracias por el regalo"
"156","the answering machine","la contestadora"
"157","The author writes about history","El autor escribe sobre la historia"
"158","The book is for her","El libro es para ella"
"159","The book is not interesting at all","El libro no es nada interesante"
"160","The book is somewhat interesting","El libro es algo interesante"
"161","the boss","el jefe"
"162","the box","la caja"
"163","The boy never practices the piano","El niño nunca practica el piano"
"164","the bus stop","la parada"
"165","The cat jumps over the sofa","El gato salta por encima del sofá"
"166","the change","el cambio"
"167","The child runs under the table","El niño corre por debajo de la mesa"
"168","the circus","el circo"
"169","the clouds","las nubes"
"170","the colleague","el colega"
"171","the computer","la computadora"
"172","the dawn","el alba"
"173","the dawn, early morning","la madrugada"
"174","the day after tomorrow","pasado mañana"
"175","the deposit","el depósito"
"176","the desert","el desierto"
"177","the earth","la tierra"
"178","the earthquake","el terremoto"
"179","the effort","el esfuerzo"
"180","the fax machine","la máquina de facsímile"
"181","the film","la película"
"182","the flood","la inundación"
"183","The gift is for her son","El regalo es para su hijo"
"184","the hill","la colina"
"185","the hill","el monte"
"186","the human rights","los derechos humanos"
"187","the interest","el interés"
"188","the invoice, bill","la factura"
"189","the judge","el/la juez"
"190","the lake","el lago"
"191","the law","la ley"
"192","the lightning","el relámpago"
"193","the limit","el colmo"
"194","the little room [-ito makes the room smaller]","el cuartito"
"195","the moon","la luna"
"196","The moon is out","Hay luna"
"197","the mountains","las montañas"
"198","the neighbor","el vecino"
"199","the news","las noticias"
"200","the news","las noticias"
"201","the northeast","el noreste"
"202","the ocean","el océano"
"203","The pan is on top of the stove","El sartén está sobre la estufa"
"204","the place","el sitio"
"205","The plant is green because of the chlorophyll","La planta es verde por la clorofila"
"206","the post office","el correo"
"207","the printer","la impresora"
"208","the rain","la lluvia"
"209","the reason","la razón"
"210","the rehearsal","el ensayo"
"211","the river","el río"
"212","The robber leaves through the window","El ladrón sale por la ventana"
"213","the sea","el mar"
"214","the sky","el cielo"
"215","the snow","la nieve"
"216","the space","el espacio"
"217","the star","la estrella"
"218","The stars are out","Hay estrellas"
"219","the storm","la tempestad"
"220","the storm","la tormenta"
"221","The student teaches for [instead of] the teacher","El estudiante enseña por el profesor"
"222","the sun","el sol"
"223","the sunset","el ocaso"
"224","the sunset","la puesta del sol"
"225","the thunder","el trueno"
"226","the ticket","el tiquete"
"227","the tour","la gira"
"228","The train is leaving for Canada","El tren sale para el Canadá"
"229","the trapeze artist","el trapecista"
"230","the tremor","el temblor"
"231","the voice","la voz"
"232","The weather is bad","Hace mal tiempo"
"233","The weather is good","Hace buen tiempo"
"234","the wind","el viento"
"235","the witness","el/la testigo"
"236","the worker","el empleado"
"237","the world","el mundo"
"238","There is no hotel in this city","No hay ningún hotel en esta ciudad"
"239","therefore, for this reason","por eso"
"240","They are not Cubans, but rather Spaniards","Ellos no son cubanos, sino españoles"
"241","They don't want to travel ever again","Ellos no quieren viajar nunca jamás"
"242","They learn well because of you","Ellas aprenden bien por ti"
"243","to call","llamar"
"244","to converse","conversar"
"245","to discuss","discutir"
"246","to function, to work","funcionar"
"247","to greet","saludar"
"248","to indicate","indicar"
"249","to look for","buscar"
"250","to pretend","fingir"
"251","to send","mandar"
"252","toward","hacia"
"253","toward the front","hacia adelante"
"254","toward the rear","hacia atrás"
"255","under [more figurative than debajo de]","bajo"
"256","underneath","debajo de"
"257","until","hasta"
"258","upward","hacia arriba"
"259","usually","por lo común"
"260","usually","por costumbre"
"261","We are going to the movies about eight o'clock","Vamos al cine sobre las ocho"
"262","We are not going to write anything","No vamos a escribir nada"
"263","We don't have any vacation in August","No tenemos ningunas vacaciones en agosto"
"264","We don't sell, but rather we buy","No vendemos, sino compramos"
"265","We have no idea","No tenemos ninguna idea"
"266","We prefer to travel by plane","Preferimos viajar por avión"
"267","We sleep for eight hours every night","Dormimos por ocho horas cada noche"
"268","We want a room for two persons for one night","Queremos una habitación para dos personas por una noche"
"269","what is there to do","qué hay que hacer"
"270","What's the weather like?","¿Qué tiempo hace?"
"271","with","con"
"272","with me","conmigo"
"273","with you","contigo"
"274","with yourself, with himself, with herself, with themselves","consigo"
"275","without","sin"
"276","You're welcome","De nada./No hay de que"
