"id";"word";"answer"
"1";"illogical";"ilógico"
"2";"wise";"sabio"
"3";"ignorant";"ignorante"
"4";"smart";"listo"
"5";"intelligent";"inteligente"
"6";"stupid";"tonto"
"7";"foolish";"necio"
"8";"skilled";"hábil"
"9";"unskilled";"inhábil"
"10";"talented";"talentoso"
"11";"gifted";"dotado"
"12";"experienced";"experimentado"
"13";"inexperienced";"inexperto"
"14";"professional";"profesional"
"15";"amateur";"aficionado"
"16";"expert";"experto"
"17";"novice";"novato"
"18";"responsible";"responsable"
"19";"irresponsible";"irresponsable"
"20";"honest";"honesto"
"21";"dishonest";"deshonesto"
"22";"fair";"justo"
"23";"unfair";"injusto"
"24";"generous";"generoso"
"25";"stingy";"tacaño"
"26";"selfish";"egoísta"
"27";"humble";"humilde"
"28";"arrogant";"arrogante"
"29";"vain";"vanidoso"
"30";"proud";"orgulloso"
"31";"modest";"modesto"
"32";"ambitious";"ambicioso"
"33";"unambitious";"poco ambicioso"
"34";"organized";"organizado"
"35";"disorganized";"desorganizado"
"36";"methodical";"metódico"
"37";"chaotic";"caótico"
"38";"precise";"preciso"
"39";"imprecise";"impreciso"
"40";"exact";"exacto"
"41";"approximate";"aproximado"
"42";"clear";"claro"
"43";"unclear";"confuso"
"44";"visible";"visible"
"45";"invisible";"invisible"
"46";"obvious";"obvio"
"47";"hidden";"oculto"
"48";"secret";"secreto"
"49";"public";"público"
"50";"private";"privado"
"51";"personal";"personal"
"52";"intimate";"íntimo"
"53";"domestic";"doméstico"
"54";"foreign";"extranjero"
"55";"rural";"rural"
"56";"urban";"urbano"
"57";"global";"global"
"58";"local";"local"
"59";"regional";"regional"
"60";"national";"nacional"
"61";"international";"internacional"
"62";"legal";"legal"
"63";"illegal";"ilegal"
"64";"moral";"moral"
"65";"immoral";"inmoral"
"66";"ethical";"ético"
"67";"unethical";"antiético"
"68";"religious";"religioso"
"69";"spiritual";"espiritual"
"70";"material";"material"
"71";"physical";"físico"
"72";"mental";"mental"
"73";"emotional";"emocional"
"74";"psychological";"psicológico"
"75";"medical";"médico"
"76";"scientific";"científico"
"77";"technical";"técnico"
"78";"atomic";"atómico"
"79";"nuclear";"nuclear"
"80";"solar";"solar"
"81";"lunar";"lunar"
"82";"stellar";"estelar"
"83";"cosmic";"cósmico"
"84";"galactic";"galáctico"
"85";"celestial";"celeste"
"86";"terrestrial";"terrestre"
"87";"marine";"marino"
"88";"aquatic";"acuático"
"89";"submarine";"submarino"
"90";"underground";"subterráneo"
"91";"surface-level";"superficial"
"92";"internal";"interno"
"93";"external";"externo"
"94";"outer";"exterior"
"95";"inner";"interior"
"96";"central";"central"
"97";"peripheral";"periférico"
"98";"vertical";"vertical"
"99";"horizontal";"horizontal"
"100";"diagonal";"diagonal"
