What time is check-out,¿A qué hora es el registro de salida?
What time is breakfast served?,¿A qué hora se sirve el desayuno?
What time do I have to leave the room?,¿A qué hora tengo que dejar la habitación?
What is the wifi password please?,"¿Cuál es la contraseña del wifi, por favor?"
How much is the room?,¿Cuánto cuesta la habitación?
How much is the total bill?,¿Cuánto es la cuenta total?
Where is the ___,¿Dónde está ___?
Where is the restaurant?,¿Dónde está el restaurante?
Is breakfast included in the price?,¿El desayuno está incluido en el precio?
Is breakfast included,¿El desayuno está incluido?
Does the hotel have a pool?,¿El hotel tiene piscina?
Is the pool open?,¿Está abierta la piscina?
Are there good restaurants near here?,¿Hay buenos restaurantes cerca de aquí?
Are there good restaurants near the hotel?,¿Hay buenos restaurantes cerca del hotel?
Is there free wifi in the room?,¿Hay wifi gratis en la habitación?
Can I have the wifi password.,¿Me puede dar la contraseña del wifi?
May I have the key?,¿Me puede dar la llave?
Can you call a taxi for me?,¿Me puede llamar un taxi?
Can I have extra towels in the room?,¿Me puede poner toallas extras en la habitación?
Can I have more towels?,¿Me puede dar más toallas?
Can I leave my luggage?,¿Puedo dejar mi equipaje?
Can I check out later?,¿Puedo hacer el check-out más tarde?
Do you have a restaurant?,¿Tiene restaurante?
air conditioning,aire acondicionado
bathroom,baño
bed,cama
password,contraseña
bill,cuenta
You are welcome.,De nada.
breakfast,desayuno
"Excuse me, where is the elevator?","Disculpe, ¿dónde está el ascensor?"
I enjoyed my stay.,Disfruté mi estancia.
The air conditioning does not work.,El aire acondicionado no funciona.
elevator,elevador
luggage,equipaje
Thank you for your help.,Gracias por su ayuda.
room,habitación
double room,habitación doble
single room,habitación sencilla
hotel,hotel
soap,jabón
The room is very nice.,La habitación está muy bonita.
The tv does not work.,La televisión no funciona.
laundry,lavandería
key,llave
Thank you very much.,Muchas gracias.
I need more soap and shampoo.,Necesito más jabón y shampoo.
I need room service.,Necesito servicio a la habitación.
There is no hot water.,No hay agua caliente.
passport,pasaporte
pool,piscina
floor,piso
I would like to check out.,Quisiera hacer el registro de salida.
I would like to pay with credit card.,Quisiera pagar con tarjeta de crédito.
I would like to check in.,Quisiera registrarme.
reception,recepción
check-in,registro de entrada
check-out,registro de salida
reservation,reservación
I booked a ___ room.,Reservé una habitación ___.
restaurant,restaurante
room service,servicio a la habitación
shampoo,shampoo
key card,tarjeta
credit card,tarjeta de crédito
I have a reservation under the name of ___.,Tengo una reservación a nombre de ___.
I have a reservation.,Tengo una reservación.
towel,toalla
wifi,wifi
