It is next to (the cinema).,Está al lado (del cine).
It is behind the (market).,Está detrás del (mercado).
It is in front of (the library).,Está enfrente (de la biblioteca).
(The ruins) are far away.,(Las ruinas) están lejos.
(The pharmacy) is straight ahead.,(La farmacia) está todo derecho.
I'd like to reserve a room please.,Quisiera reservar una habitación por favor.
"I'm sorry, we're full.","Lo siento, no hay vacantes."
For how many nights?,¿Por cuántas noches?
How much is it per person?,¿Cuánto cuesta por persona?
How much is it per night?,¿Cuánto cuesta por noche?
Is breakfast included?,¿El desayuno está incluido?
I have a reservation.,Tengo una reserva.
Can I get (another towel)?,¿Puede darme (otra toalla)?
There's no need to change my sheets.,No es necesario que cambie mis sábanas.
Do you have (laundry service)?,¿Hay servicio (de lavandería)?
I'm locked out of my room.,Dejé la llave dentro del cuarto.
The (air conditioning) doesn't work.,No funciona (el aire acondicionado).
This (blanket) isn't clean.,Esta (cobija) no está limpia.
Who is it?,¿Quién es?
Come in.,Pase.
Can you come back later please.,"¿Puede volver más tarde, por favor?"
What time is checkout?,¿A qué hora hay que dejar la habitación?
Can I leave my luggage here?,¿Puedo dejar mis maletas aquí?
Can you call a taxi for me (for 11 o'clock)?,¿Me puede pedir un taxi (para las once)?
I'm leaving now.,Me voy ahora.
There's a mistake in the bill.,Hay un error en la cuenta.
"We had a great stay, thank you.","Tuvimos una estancia muy agradable, gracias."
I'll recommend it to my friends.,Se lo recomendaré a mis amigos.
Where is (a supermarket)?,¿Dónde hay (un supermercado)?
I'm just looking.,Sólo estoy mirando.
I'd like to buy (a shirt).,Quisiera comprar (una camisa.)
How much is this?,¿Cuánto cuesta esto?
Can I look at it?,¿Puedo verlo?
Do you have any others?,¿Tiene otros?
Could I have a bag please?,"¿Podría darme una bolsa, por favor?"
"I don't need a bag, thanks.","No necesito una bolsa, gracias."
Do you accept credit cards?,¿Aceptan tarjetas de crédito?
Could I have a receipt please?,"¿Podría darme un recibo, por favor?"
That's too expensive.,Es demasiado caro(a).
Do you have something cheaper?,¿Tiene also más barato?
What's your final price?,¿Cuál es su precio final?
Is there an English language section?,¿Hay alguna sección con material en inglés?
Do you have a book by (Elena Poniatowska)?,¿Tiene algún libro de (Elena Poniatowska)?
I'd like a map.,Quisiera un mapa.
Can I try it on?,¿Me lo puedo probar?
It doesn't fit.,No me queda bien.
My size is (small).,Soy talla (chica).
Can I help you?,¿En qué le puedo servir?
What would you like?,¿Qué desea?
"No, we don't have any.","No, no tenemos."
Where can I buy (papel amate)?,¿Dónde puedo comprar (papel amate)?
Where is the local internet cafe?,¿Dónde hay un cibercafé por aquí?
Is there internet access here?,¿Hay acceso al internet aquí?
I'd like to use a printer.,Quisiera usar una impresora.
How much per (hour)?,¿Cuánto cuesto per (hora)?
I need help with the computer.,Necesito ayuda con la computadora.
What's your phone number?,¿Cuál es su número de teléfono?
I want to buy a phone card?,Quisiera comprar una tarjeta telefónica.
I want to buy some stamps.,Quisiera comprar unas estampillas.
I want to send a postcard.,Quisiera enviar una postal.
How much is it?,¿Cuánto cuesta esto?
Can I pay in cash?,¿Puedo pagar en efectivo?
Where is the nearest ATM?,¿Dónde está el cajero automático más cercano?
What time does the bank open?,¿A qué hora abre el banco?
The ATM took my card.,El cajero automático se tragó mi tarjeta.
What is that?,¿Qué es eso?
How old is it?,¿De cuándo es?
Could you take a photograph of me?,¿Me puede tomar una foto?
Can I take a photograph (of you)?,¿Puedo tomar(le) una foto?
Would you like me to take a (for you)?,¿Quiere que le tome una foto?
What time does it open?,¿A qué hora abren?
What time does it close?,¿A qué hora cierran?
What's the admission charge?,¿Cuánto cuesta la entrada?
Is there a discount for retirees?,¿Hay descuento para jubilados?
I need a wheelchair.,Necesito una silla de ruedas.
