"id";"word";"answer"
"1";"I am {IRREG}";"[yo] soy"
"2";"you are [sing, inf] {IRREG}";"[tú] eres"
"3";"he is {IRREG}";"[él] está"
"4";"she is {IRREG}";"[ella] está"
"5";"you have [sing, formal] {yo; e→ie}";"[usted] tiene"
"6";"we have {yo; e→ie}";"[nosotros] tenemos"
"7";"you go [pl] {IRREG}";"[ustedes] van"
"8";"they go {IRREG}";"[ellos] van"
"9";"I do {yo}";"[yo] hago"
"10";"you do [sing, inf] {yo}";"[tú] haces"
"11";"he can {yo; o→ue}";"[él] puede"
"12";"she can {yo; o→ue}";"[ella] puede"
"13";"you say [sing, formal] {yo; e→i}";"[usted] dice"
"14";"we say {yo; e→i}";"[nosotros] decimos"
"15";"you give [pl] {yo}";"[ustedes] dan"
"16";"they give {yo}";"[ellos] dan"
"17";"I know {yo}";"[yo] sé"
"18";"you know [sing, inf] {yo}";"[tú] sabes"
"19";"he wants {e→ie}";"[él] quiere"
"20";"she wants {e→ie}";"[ella] quiere"
"21";"you come [sing, formal] {yo; e→ie}";"[usted] viene"
"22";"we come {yo; e→ie}";"[nosotros] venimos"
"23";"you see [pl] {yo}";"[ustedes] ven"
"24";"they see {yo}";"[ellos] ven"
"25";"I bring {yo}";"[yo] traigo"
"26";"you bring [sing, inf] {yo}";"[tú] traes"
"27";"he knows {yo-zco}";"[él] conoce"
"28";"she knows {yo-zco}";"[ella] conoce"
"29";"you put [sing, formal] {yo}";"[usted] pone"
"30";"we put {yo}";"[nosotros] ponemos"
"31";"you seem [pl] {yo-zco}";"[ustedes] parecen"
"32";"they seem {yo-zco}";"[ellos] parecen"
"33";"I follow {yo; e→i}";"[yo] sigo"
"34";"you follow [sing, inf] {yo; e→i}";"[tú] sigues"
"35";"he finds {o→ue}";"[él] encuentra"
"36";"she finds {o→ue}";"[ella] encuentra"
"37";"you count [sing, formal] {o→ue}";"[usted] cuenta"
"38";"we count {o→ue}";"[nosotros] contamos"
"39";"you begin [pl] {e→ie; c/z}";"[ustedes] empiezan"
"40";"they begin {e→ie; c/z}";"[ellos] empiezan"
"41";"I understand {e→ie}";"[yo] entiendo"
"42";"you understand [sing, inf] {e→ie}";"[tú] entiendes"
"43";"he loses {e→ie}";"[él] pierde"
"44";"she loses {e→ie}";"[ella] pierde"
"45";"you think [sing, formal] {e→ie}";"[usted] piensa"
"46";"we think {e→ie}";"[nosotros] pensamos"
