"id";"word";"answer"
"1";"Title: A Quiet Break At The Lakeside";"Un Descanso Tranquilo Junto Al Lago"
"2";"I stretch slowly after feeling a bit weak.";"Me estiro lentamente después de sentirme un poco débil."
"3";"The warm sun reflects softly on water.";"El sol cálido se refleja suavemente en el agua."
"4";"A cold breeze moves across the dock.";"Una brisa fría pasa por el muelle."
"5";"The fresh smell of pine fills everything.";"El olor fresco de pino llena todo."
"6";"I am going to open my small cooler.";"Voy a abrir mi hielerita pequeña."
"7";"The open lid shows sandwiches and fruit.";"La tapa abierta muestra sándwiches y fruta."
"8";"The closed thermos keeps the tea hot.";"El termo cerrado mantiene el té caliente."
"9";"The full bottle rests beside my shoes.";"La botella llena descansa junto a mis zapatos."
"10";"The empty cup waits for warm tea.";"El vaso vacío espera el té calientito."
"11";"I clean the bench before sitting down.";"Limpio la banca antes de sentarme."
"12";"The dirty leaves fall from tall branches.";"Las hojas sucias caen de las ramas altas."
"13";"We are going to prepare a simple picnic.";"Vamos a preparar un picnic sencillo."
"14";"The ready blanket spreads easily on grass.";"La cobija lista se extiende fácilmente sobre el pasto."
"15";"The finished snacks sit neatly in containers.";"Los bocadillos terminados quedan ordenados en contenedores."
"16";"A broken twig snaps under my foot.";"Una ramita rota truena bajo mi pie."
"17";"A lost glove appears near the rocks.";"Un guante perdido aparece cerca de las piedras."
"18";"They are going to fix the old rowboat.";"Van a arreglar la lancha vieja."
"19";"The lively birds circle above the lake.";"Las aves vivas dan vueltas sobre el lago."
"20";"The dead branch floats quietly near shore.";"La rama muerta flota tranquila cerca de la orilla."
"21";"I am going to keep everyone fully awake.";"Voy a mantener a todos bien despiertos."
