"id";"word";"answer"
"1";"economic";"económico"
"2";"cultural";"cultural"
"3";"natural";"natural"
"4";"human";"humano"
"5";"physical";"físico"
"6";"mental";"mental"
"7";"legal";"legal"
"8";"illegal";"ilegal"
"9";"normal";"normal"
"10";"strange, weird";"extraño"
"11";"rare";"raro"
"12";"common";"común"
"13";"special";"especial"
"14";"simple";"simple"
"15";"complex";"complejo"
"16";"complete";"completo"
"17";"incomplete";"incompleto"
"18";"possible";"posible"
"19";"probable";"probable"
"20";"improbable";"improbable"
"21";"necessary";"necesario"
"22";"unnecessary";"innecesario"
"23";"useful";"útil"
"24";"useless";"inútil"
"25";"true";"cierto"
"26";"false";"falso"
"27";"real";"real"
"28";"fake";"falso"
"29";"visible";"visible"
"30";"invisible";"invisible"
"31";"famous";"famoso"
"32";"unknown";"desconocido"
"33";"alive";"vivo"
"34";"dead";"muerto"
"35";"healthy";"saludable"
"36";"sick";"enfermo"
"37";"pregnant";"embarazada"
"38";"hot (weather)";"caluroso"
"39";"cold (weather)";"frío"
"40";"humid";"húmedo"
"41";"dry";"seco"
"42";"light (weight)";"ligero"
"43";"heavy";"pesado"
"44";"soft";"suave"
"45";"hard";"duro"
"46";"rough";"áspero"
"47";"smooth";"liso"
"48";"wide";"ancho"
"49";"narrow";"estrecho"
"50";"deep";"profundo"
"51";"shallow";"superficial"
"52";"round";"redondo"
"53";"square";"cuadrado"
"54";"straight";"recto"
"55";"crooked";"torcido"
"56";"true, sure";"seguro"
"57";"clear, evident";"evidente"
"58";"obvious";"obvio"
"59";"hidden";"oculto"
"60";"simple-minded";"simple"
"61";"smart, clever";"listo"
"62";"intelligent";"inteligente"
"63";"stupid";"tonto"
"64";"wise";"sabio"
"65";"ignorant";"ignorante"
"66";"creative";"creativo"
"67";"practical";"práctico"
"68";"impractical";"impráctico"
"69";"logical";"lógico"
"70";"illogical";"ilógico"
"71";"honest";"honesto"
"72";"dishonest";"deshonesto"
"73";"responsible";"responsable"
"74";"irresponsible";"irresponsable"
"75";"serious";"serio"
"76";"funny";"chistoso"
"77";"boring";"aburrido"
"78";"interesting";"interesante"
"79";"curious";"curioso"
"80";"friendly";"amable"
"81";"unfriendly";"antipático"
"82";"polite";"educado"
"83";"rude";"grosero"
"84";"generous";"generoso"
"85";"stingy";"tacaño"
"86";"selfish";"egoísta"
"87";"humble";"humilde"
"88";"arrogant";"arrogante"
"89";"jealous";"celoso"
"90";"envious";"envidioso"
"91";"calm";"calmo"
"92";"violent";"violento"
"93";"aggressive";"agresivo"
"94";"peaceful";"pacífico"
"95";"loving";"amoroso"
"96";"caring";"cariñoso"
"97";"mean";"malo"
"98";"nice, pleasant";"agradable"
"99";"unpleasant";"desagradable"
"100";"red";"rojo"
