word,answer
I'm hungry,Tengo hambre
I'm thirsty,Tengo sed
I'm cold,Tengo frío
I'm hot,Tengo calor
I'm afraid,Tengo miedo
I'm right,Tengo razón
I'm in a hurry,Tengo prisa
I'm lucky,Tengo suerte
I'm sleepy,Tengo sueño
I'm 74 years old,Tengo setenta y cuatro años.
I feel like eating,Tengo ganas de comer
I feel like leaving,Tengo ganas de irme
I need to go to the bathroom,Tengo que ir al baño
I have a headache,Tengo dolor de cabeza
I have a stomachache,Tengo dolor de estómago
I have a question,Tengo una pregunta
I have an idea,Tengo una idea
I have time,Tengo tiempo
I don't have time,No tengo tiempo
I have a problem,Tengo un problema
I'm tired,Estoy cansado
I'm sick,Estoy enfermo
I'm ready,Estoy listo
I'm busy,Estoy ocupado
I'm happy,Estoy feliz
I'm sad,Estoy triste
I'm bored,Estoy aburrido
I'm nervous,Estoy nervioso
I'm worried,Estoy preocupado
I'm relaxed,Estoy relajado
I'm surprised,Estoy sorprendido
I'm angry,Estoy enojado
I'm confused,Estoy confundido
I'm lost,Estoy perdido
I'm calm,Estoy tranquilo
I'm comfortable,Estoy cómodo
I'm alone,Estoy solo
I'm safe,Estoy seguro
I'm full (after eating),Estoy lleno
I'm serious,Estoy serio
