" ""English""",Spanish
I access the new kitchen.,Accedo a la cocina nueva.
"You access the big recipe easy? [sing, formal]",¿Accede usted la receta grande fácilmente?
She saves her small salary.,Ella ahorra su sueldo pequeño.
We save money for good ingredients.,Ahorramos dinero para ingredientes buenos.
I rent a new apartment with Sofia.,Alquilo un apartamento nuevo con Sofia.
He rents the old kitchen every week.,Él alquila la cocina vieja cada semana.
"You help me fast today? [sing, inf]",¿Me ayudas rápido hoy?
They help us make something difficult.,Ellos nos ayudan a hacer algo difícil.
I dance when the food is good.,Bailo cuando la comida es buena.
"You dance very slow? [sing, inf]",¿Bailas muy lentamente?
They search for bad ingredients sometimes.,Ellos buscan ingredientes malos a veces.
She searches for small new herbs.,Ella busca hierbas nuevas pequeñas.
We change the difficult recipe fast.,Cambiamos la receta difícil rápido.
"You change your mind easy? [sing, formal]",¿Cambia usted de opinión fácilmente?
I walk to the big stove.,Camino a la estufa grande.
He walks very slow always.,Él camina muy lentamente siempre.
"You cancel the old class? [sing, inf]",¿Cancelas la clase vieja?
We do not cancel our good plans.,No cancelamos nuestros planes buenos.
I cook the new dish now.,Voy a cocinar el plato nuevo ahora.
She cooks something difficult today.,Ella cocina algo difícil hoy.
"You buy the small ingredients? [sing, inf]",¿Compras los ingredientes pequeños?
He buys the big expensive pan.,Él compra la sartén grande cara.
I answer her difficult questions.,Contesto sus preguntas difíciles.
"You answer fast always? [sing, formal]",¿Contesta usted rápido siempre?
We rest after the big meal.,Descansamos después de la comida grande.
They rest in the new room.,Ellos descansan en la habitación nueva.
I draw a bad picture of the meal.,Dibujo un cuadro malo de la comida.
"You draw easy things? [sing, inf]",¿Dibujas cosas fáciles?
We begin something new today.,Empezamos algo nuevo hoy.
She begins her good work fast.,Ella empieza su trabajo bueno rápido.
I enter the old kitchen slowly.,Entro a la cocina vieja lentamente.
"You enter the big house now? [sing, formal]",¿Entra usted a la casa grande ahora?
They send the small package.,Ellos envían el paquete pequeño.
I send a good message to Sofia.,Envío un mensaje bueno a Sofia.
