"id";"word";"answer"
"1";"She commits to the simple plan.";"(ella) comete el plan simple"
"2";"She understands the basic rule.";"(ella) comprende la regla básica"
"3";"She sews a white dress.";"(ella) cose un vestido blanco"
"4";"She believes the simple message.";"(ella) cree el mensaje simple"
"5";"She hides the green folder.";"(ella) esconde la carpeta verde"
"6";"We absorb the clear lesson.";"(nosotros) absorbemos la lección clara"
"7";"We eat in the bright room.";"(nosotros) comemos en el cuarto brillante"
"8";"We correspond every calm week.";"(nosotros) correspondemos cada semana tranquila"
"9";"We read the short story.";"(nosotros) leemos el cuento corto"
"10";"We put the red book inside.";"(nosotros) metemos el libro rojo"
"11";"We turn on the old radio.";"(nosotros) prendemos la radio vieja"
"12";"We respond to the short note.";"(nosotros) respondemos a la nota corta"
"13";"We break the old basket.";"(nosotros) rompemos la canasta vieja"
"14";"We surprise our young cousin.";"(nosotros) sorprendemos a nuestro primo joven"
"15";"We happen in rare cases.";"(nosotros) sucedemos en casos raros"
"16";"You drink the fresh water. [sing, inf]";"(tú) bebes el agua fresca"
"17";"You exceed the normal limit. [sing, inf]";"(tú) excedes el límite normal"
"18";"You read the long article. [sing, inf]";"(tú) lees el artículo largo"
"19";"You proceed after the short break. [sing, inf]";"(tú) procedes después del descanso corto"
"20";"You promise honest work. [sing, inf]";"(tú) prometes trabajo honesto"
"21";"You protect your soft skin. [sing, inf]";"(tú) proteges tu piel suave"
"22";"You respond with quick words. [sing, inf]";"(tú) respondes con palabras rápidas"
"23";"You suspend the noisy class. [sing, inf]";"(tú) suspendes la clase ruidosa"
"24";"You fear the dark night. [sing, inf]";"(tú) temes la noche oscura"
"25";"You learn the short lesson. [sing, formal]";"(usted) aprende la lección corta"
"26";"You sweep the narrow hall. [sing, formal]";"(usted) barre el pasillo angosto"
"27";"You correspond with the new team. [sing, formal]";"(usted) corresponde con el equipo nuevo"
"28";"You put the small toy inside. [sing, formal]";"(usted) mete el juguete pequeño"
"29";"You offend the quiet group. [sing, formal]";"(usted) ofende al grupo tranquilo"
"30";"You turn on the bright lamp. [sing, formal]";"(usted) prende la lámpara brillante"
"31";"You surprise your kind friend. [sing, formal]";"(usted) sorprende a su amigo amable"
"32";"You cough a little today. [sing, formal]";"(usted) tose un poco hoy"
"33";"You sell the old radio. [sing, formal]";"(usted) vende la radio vieja"
"34";"They learn simple words. [pl]";"(ustedes) aprenden palabras simples"
"35";"You sew the blue fabric. [pl]";"(ustedes) cosen la tela azul"
"36";"You believe the local news. [pl]";"(ustedes) creen las noticias locales"
"37";"You should read the guide. [pl]";"(ustedes) deben leer la guía"
"38";"You depend on our plan. [pl]";"(ustedes) dependen de nuestro plan"
"39";"You possess many bright photos. [pl]";"(ustedes) poseen muchas fotos brillantes"
"40";"You go back to the main road. [pl]";"(ustedes) retroceden a la calle principal"
"41";"You suspend the late meeting. [pl]";"(ustedes) suspenden la reunión tardía"
"42";"You fear the loud thunder. [pl]";"(ustedes) temen el trueno fuerte"
"43";"You sell the small lamp. [pl]";"(ustedes) venden la lámpara pequeña"
"44";"I absorb the new information.";"(yo) absorbo la información nueva"
"45";"I sweep the dusty floor.";"(yo) barro el piso polvoriento"
"46";"I commit small daily errors.";"(yo) cometo errores diarios pequeños"
"47";"I eat a warm meal.";"(yo) como una comida tibia"
"48";"I understand your clear idea.";"(yo) comprendo tu idea clara"
"49";"I run near the tall tree.";"(yo) corro cerca del árbol alto"
"50";"I should finish this task.";"(yo) debo terminar esta tarea"
"51";"I depend on your calm voice.";"(yo) dependo de tu voz tranquila"
"52";"I hide the small coin.";"(yo) escondo la moneda pequeña"
"53";"I offend no kind person.";"(yo) ofendo a ninguna persona amable"
"54";"I possess a small notebook.";"(yo) poseo un cuaderno pequeño"
"55";"I protect my small dog.";"(yo) protejo a mi perro pequeño"
"56";"I go back to the quiet path.";"(yo) retrocedo al camino tranquilo"
"57";"He drinks the cold juice.";"(él) bebe el jugo frío"
"58";"He runs on the quiet street.";"(él) corre en la calle tranquila"
"59";"He exceeds the high goal.";"(él) excede la meta alta"
"60";"He proceeds with slow steps.";"(él) procede con pasos lentos"
"61";"He promises a short visit.";"(él) promete una visita corta"
"62";"He breaks the thin pencil.";"(él) rompe el lápiz delgado"
"63";"It happens every quiet morning.";"(él) sucede cada mañana tranquila"
"64";"He coughs in the cold air.";"(él) tose en el aire frío"
