word,answer
besides / in addition to,además
before [+ noun or infinitive],antes de
as soon as,apenas
therefore / so,así que
although / even though / even if,aunque
even if [+ subjunctive],aunque
as [comparative],como
provided that / as long as,con tal (de) que
when,cuando
so that / in such a way that,de forma que
so that / in such a way that,de manera que
after / afterwards / later,después
after  [+ verb],después de que [+ verb]
as soon as,en cuanto
so / then / in that case,entonces
until,hasta que
then / next / after that,luego
while / as long as,mientras
or,o [u before o/ho]
to / in order to [+ infinitive],para
so that / in order that [+ subjunctive],para que
but,pero
because of,por
therefore / that’s why / for that reason,por eso
finally / at last,por fin
in case / just in case,por si acaso
because,porque
[más + adjective +] than [comparative],que
if,si
as long as,siempre que
so [+ adjective +] that,tan…que
and,y [e before i/hi]
even though / even if,aun cuando
because / since  [+ clause],como
