"large";"grande"  
"small";"pequeño"  
"larger";"más grande"  
"smaller";"más pequeño"  
"buy";"comprar"  
"have";"tener"  
"help";"ayudar"  
"together";"juntos"  
"credit card";"tarjeta de crédito"  
"hello";"hola"  
"Good morning.";"Buenos días."  
"Good afternoon.";"Buenas tardes."  
"Good evening.";"Buenas noches."  
"How are you";"¿Cómo está?"  
"My name is ___";"Me llamo ___."  
"What is your name";"¿Cómo se llama?"  
"Nice to meet you";"Mucho gusto."  
"Thank you.";"Gracias"  
"Thank you very much!";"Muchas gracias."  
"You are welcome.";"De nada."  
"please";"por favor"  
"Excuse me.";"Disculpe."  
"yes";"sí"  
"no";"no"  
"I am from ___."; "Soy de ___."  
"I am American."; "Soy estadounidense."  
"I am visiting Mexico."; "Estoy visitando México."  
"store"; "tienda"  
"market stall";"puesto"  
"owner"; "dueño"  
"employee/worker"; "trabajador"  
"How much?"; "¿Cuánto cuesta?"  
"How much is this/that?"; "¿Cuánto cuesta esto/eso?"  
"What is this/that?"; "¿Qué es esto/eso?"  
"What are these/those?"; "¿Qué son estos/esos?"  
"Do you have ___?"; "¿Tiene ___?"  
"I would like ___."; "Quisiera ___."  
"this one";"este"  
"that one";"ese"  
"these";"estos"  
"those";"esos"  
"83";"ochenta y tres"  
"127";"ciento veintisiete"  
"405";"cuatrocientos cinco"  
"690";"seiscientos noventa"  
"1234";"mil doscientos treinta y cuatro"  
"Do you have this in another color?";"¿Tiene esto en otro color?"  
"Do you have a smaller size?";"¿Tiene una talla más pequeña?"  
"Do you have a larger size?";"¿Tiene una talla más grande?"  
"How much does this cost?";"¿Cuánto cuesta esto?"  
"How much is that one?";"¿Cuánto cuesta ese?"  
"What is this called?";"¿Cómo se llama esto?"  
"What is that?";"¿Qué es eso?"  
"Do you have ___ please?";"¿Tiene ___ por favor?"  
"I would like to buy this."; "Quisiera comprar esto."  
"I'm just looking."; "Solo estoy viendo."  
"It is very nice."; "Está muy bonito/padre."  
"How are you today?";"¿Cómo estás hoy?"  
"I am fine, thank you."; "Estoy bien, gracias."  
"Nice to meet you."; "Mucho gusto."  
"Thank you for your help."; "Gracias por su ayuda."  
"You are very kind."; "Eres muy amable."  
"See you later."; "Hasta luego."  
"Goodbye."; "Adiós."  
"Have a good day."; "Que tenga un buen día."  
"Excuse me, how much is this?"; "Disculpe, ¿cuánto cuesta esto?"  
"Can you help me?"; "¿Me puede ayudar? [¿Me ayuda?]"  
"I like this one."; "Me gusta este."  
"How much is everything together?"; "¿Cuánto es todo juntos?"  
"Do you accept credit cards?"; "¿Acepta tarjetas de crédito?"  
"Thank you, that is all."; "Gracias, eso es todo."  
"See you tomorrow."; "Hasta mañana."  
