"id","word","answer"
"1","a certain day [cierto, before noun]","cierto día"
"2","a little bit [adv]","poco"
"3","a little bit, a few, not much, not many","poco"
"4","a lot [adv]","mucho"
"5","a lot of, much, many","mucho"
"6","a sure thing [cierto, after noun]","una cosa cierta"
"7","about [prep]","acerca de"
"8","all, every","todo"
"9","almost [adv]","casi"
"10","already","ya"
"11","always","siempre"
"12","an ancient civilization [antiguo, after noun]","una civilización antigua"
"13","Are your teachers Spanish?","¿Son españoles vuestros maestros?"
"14","as + adj + as","tan + adj + como"
"15","as much + noun + as, as many + noun + as","tanto + nombre + como"
"16","as much as [comparing verbs]","tanto como"
"17","bad","malo"
"18","bad","malo"
"19","badly [adv]","mal"
"20","better","mejor"
"21","better [adv]","mejor"
"22","both","ambos"
"23","clear [adj]","claro"
"24","clearly [adv]","claramente"
"25","down, downstairs","abajo"
"26","each","cada"
"27","Each apartment has a kitchen.","Cada apartamento tiene una cocina."
"28","Each house has two bathrooms.","Cada casa tiene dos baños."
"29","early","temprano"
"30","easily [adv]","fácilmente"
"31","easy [adj]","fácil"
"32","English","inglés"
"33","enough","bastante, suficiente"
"34","Everyone [all the world] is here.","Todo el mundo está aquí."
"35","far off","lejos"
"36","frank [adj]","franco"
"37","frankly [adv]","francamente"
"38","frequent [adj]","frecuente"
"39","frequently [adv]","frecuentemente"
"40","good","bueno"
"41","good","bueno"
"42","happily [adv]","alegremente"
"43","happily [adv]","felizmente"
"44","happy [adj]","alegre"
"45","happy [adj]","feliz"
"46","He always does his homework well.","Él siempre hace bien su tarea."
"47","He doesn't have a lot of money.","Él no tiene mucho dinero."
"48","He has a lot of friends.","Tiene muchos amigos."
"49","He has as much hair as his uncle.","Él tiene tanto pelo como su tío."
"50","He has other difficult problems.","Él tiene otros problemas difíciles."
"51","He is bad.","Él es malo."
"52","He is going to return some day.","Él va a volver algún día."
"53","He runs as many meters as his son.","Él corre tantos metros como su hijo."
"54","He runs slowly and sadly.","Él corre lenta y tristemente."
"55","He walks frequently and happily.","Él camina frecuente y alegremente."
"56","He wants another car.","Él quiere otro carro."
"57","He writes every day [all the days].","Él escribe todos los días."
"58","Her articles are interesting.","Sus artículos son interesantes."
"59","her former boyfriend [antiguo, before noun]","su antiguo novio"
"60","Her friend arrives late.","Su amiga llega tarde."
"61","Her friend has a bad idea.","Su amiga tiene una mala idea."
"62","Her grandmother is the oldest of all.","Su abuela es la mayor de todas."
"63","Her mother is older.","Su madre es mayor."
"64","here, there [stationary]","aquí, allí"
"65","here, there [with motion]","acá, allá"
"66","His brother is younger.","Su hermano es menor."
"67","His car or her car?","¿El carro de él o el carro de ella?"
"68","His sister is a good student.","Su hermana es una buena estudiante."
