"id";"word";"answer"
"1";"She learns new vocabulary every day.";"[Ella] aprende vocabulario nuevo cada día."
"2";"She attends every class.";"[Ella] asiste a cada clase."
"3";"She sweeps the kitchen floor.";"[Ella] barre el piso de la cocina."
"4";"She decides what movie to watch.";"[Ella] decide qué película ver."
"5";"She waits patiently in the lobby.";"[Ella] espera pacientemente en el vestíbulo."
"6";"She studies every afternoon.";"[Ella] estudia cada tarde."
"7";"She exists in every memory I cherish.";"[Ella] existe en cada recuerdo que valoro."
"8";"She reads before going to bed.";"[Ella] lee antes de dormir."
"9";"She sends the documents today.";"[Ella] manda los documentos hoy."
"10";"She watches the children after school.";"[Ella] mira a los niños después de la escuela."
"11";"She pays the bills on time.";"[Ella] paga las cuentas a tiempo."
"12";"She responds to every message.";"[Ella] responde a cada mensaje."
"13";"She surprises her brother with a visit.";"[Ella] sorprende a su hermano con una visita."
"14";"She suffers from allergies in spring.";"[Ella] sufre de alergias en primavera."
"15";"She travels for conferences frequently.";"[Ella] viaja con frecuencia para conferencias."
"16";"They learn quickly in this environment.";"[Ellos] aprenden rápido en este entorno."
"17";"They sweep the patio every morning.";"[Ellos] barren el patio cada mañana."
"18";"They answer quickly during meetings.";"[Ellos] contestan rápido durante las reuniones."
"19";"They should review the material again.";"[Ellos] deben repasar el material otra vez."
"20";"They describe the scene in detail.";"[Ellos] describen la escena con detalle."
"21";"They discuss the proposal thoroughly.";"[Ellos] discuten la propuesta a fondo."
"22";"They enter the stadium early.";"[Ellos] entran al estadio temprano."
"23";"They hide the surprise in the garage.";"[Ellos] esconden la sorpresa en el garaje."
"24";"They wait outside the building.";"[Ellos] esperan afuera del edificio."
"25";"They study together for the exam.";"[Ellos] estudian juntos para el examen."
"26";"They read stories to the children.";"[Ellos] leen cuentos a los niños."
"27";"They clean their rooms before guests arrive.";"[Ellos] limpian sus cuartos antes de que lleguen invitados."
"28";"They call their friends often.";"[Ellos] llaman a sus amigos a menudo."
"29";"They receive updates every week.";"[Ellos] reciben actualizaciones cada semana."
"30";"They receive many visitors.";"[Ellos] reciben muchos visitantes."
"31";"They respond with enthusiasm.";"[Ellos] responden con entusiasmo."
"32";"They jump over the small stream.";"[Ellos] saltan sobre el arroyo pequeño."
"33";"They go up the hill slowly.";"[Ellos] suben la colina despacio."
"34";"They unite their efforts for the project.";"[Ellos] unen sus esfuerzos para el proyecto."
"35";"They unite their voices in the song.";"[Ellos] unen sus voces en la canción."
"36";"They sell fruit in the market.";"[Ellos] venden fruta en el mercado."
"37";"They sell books at the fair.";"[Ellos] venden libros en la feria."
"38";"We open the store at nine.";"[Nosotros] abrimos la tienda a las nueve."
"39";"We admit our mistakes openly.";"[Nosotros] admitimos nuestros errores abiertamente."
"40";"We dance at every celebration.";"[Nosotros] bailamos en cada celebración."
"41";"We drink lemonade on hot days.";"[Nosotros] bebemos limonada en días calurosos."
"42";"We change our plans frequently.";"[Nosotros] cambiamos nuestros planes con frecuencia."
"43";"We share our lunch with friends.";"[Nosotros] compartimos nuestro almuerzo con amigos."
"44";"We understand the instructions clearly.";"[Nosotros] comprendemos las instrucciones claramente."
"45";"We run together on weekends.";"[Nosotros] corremos juntos los fines de semana."
"46";"We believe your explanation.";"[Nosotros] creemos tu explicación."
"47";"We cover the table before eating.";"[Nosotros] cubrimos la mesa antes de comer."
"48";"We discuss the plan carefully.";"[Nosotros] discutimos el plan con cuidado."
"49";"We write notes during the meeting.";"[Nosotros] escribimos notas durante la reunión."
"50";"We print the labels for the boxes.";"[Nosotros] imprimimos las etiquetas para las cajas."
"51";"We clean the house on weekends.";"[Nosotros] limpiamos la casa los fines de semana."
"52";"We call our relatives on holidays.";"[Nosotros] llamamos a nuestros familiares en los días festivos."
"53";"We carry the equipment to the car.";"[Nosotros] llevamos el equipo al coche."
"54";"We put the keys on the table.";"[Nosotros] metemos las llaves en la mesa."
"55";"We allow comments on the website.";"[Nosotros] permitimos comentarios en el sitio web."
"56";"We possess all the necessary tools.";"[Nosotros] poseemos todas las herramientas necesarias."
"57";"We ask many questions.";"[Nosotros] preguntamos muchas cosas."
"58";"We break the bread to share it.";"[Nosotros] rompemos el pan para compartirlo."
"59";"We knit scarves for winter.";"[Nosotros] tejemos bufandas para el invierno."
"60";"We work together on this project.";"[Nosotros] trabajamos juntos en este proyecto."
"61";"We use this software every day.";"[Nosotros] usamos este software todos los días."
"62";"We sell lemonade at the fundraiser.";"[Nosotros] vendemos limonada en la recaudación."
"63";"We visit our grandparents on Sundays.";"[Nosotros] visitamos a nuestros abuelos los domingos."
