word,answer
to be,ser
to have [+ past participle],haber
to have,tener
"to be [location, change from norm]",estar
"to do, make",hacer
"to tell, say",decir
to be able to,poder
can,poder
to go,ir
to see,ver
to give,dar
"to know [a fact], find out",saber
"to want, love",querer
"to pass, spend time",pasar
"should, ought to",deber
to owe,deber
to arrive,llegar
"to believe, think",creer
"to let, leave",dejar
"to seem, look like",parecer
"to speak, talk",hablar
"to put, to put on, to get [+ADJ]",poner
"to follow, keep on",seguir
"to remain, stay",quedar
"to take, carry",llevar
to find,encontrar
to think,pensar
to return,volver
"to leave, go out",salir
to come,venir
"to call, name",llamar
"to look, watch",mirar
to know (someone or place),conocer
"to take, drink",tomar
"to feel, regret",sentir
"to try, treat, deal with",tratar
to live,vivir
to come near,acercar
"to wait, to hope [for], expect",esperar
to be pleasing to,gustar
"to tell, count",contar
to work,trabajar
"to begin, start",empezar
to look for,buscar
to exist,existir
"to lose, miss",perder
to write,escribir
"to fulfill, carry out",realizar
to enter,entrar
to read,leer
"to remember, remind",recordar
to die,morir
to receive,recibir
"to ask for, request",pedir
"to allow, permit",permitir
to ask [a question],preguntar
to understand,entender
"to begin, start",comenzar
"to introduce, present",presentar
to create,crear
"to produce, cause",producir
to open,abrir
to sit,sentar
to fall,caer
"to finish, to end",terminar
to hear,oír
to change,cambiar
to consider,considerar
"to convert, change, become",convertir
"to keep, maintain",mantener
"to use, utilize",utilizar
to take out,sacar
to need,necesitar
"to result, turn out",resultar
to listen to,escuchar
"to get, acquire, obtain",conseguir
"to achieve, get, manage",lograr
"to happen, occur",ocurrir
to appear,aparecer
"to win, earn",ganar
finish,acabar
to explain,explicar
to form,formar
to serve,servir
to use,usar
"to touch, play, play an instrument",tocar
to help,ayudar
to show,mostrar
to study,estudiar
"to bring, carry",traer
to run,correr
to eat,comer
"to offer, present",ofrecer
"to raise, lift",levantar
to play a sport or game,jugar
to buy,comprar
to decide,decidir
"to reach, catch up with",alcanzar
to develop,desarrollar
to pay,pagar
to put [into],meter
to fulfill,cumplir
"to direct, manage",dirigir
to continue,continuar
"to recognize, admit",reconocer
to sleep,dormir
to establish,establecer
to go up,subir
"to try, attempt",intentar
to discover,descubrir
to forget,olvidar
to include,incluir
"to walk, function",andar
to be born,nacer
to learn,aprender
"to dedicate, devote",dedicar
"to suppose, assume",suponer
to accept,aceptar
to understand,comprender
to obtain,obtener
to publish,publicar
"to throw, cast",echar
"to answer, respond",responder
"to move, incite",mover
"to point out, signal",señalar
to happen,suceder
"to come down, let down",bajar
"to avoid, prevent",evitar
"to assure, secure, insure",asegurar
to imagine,imaginar
"to stop, detain",detener
"to suffer, undergo",sufrir
"to matter, import",importar
"to occupy, use",ocupar
to represent,representar
to repeat,repetir
to walk,caminar
to close,cerrar
to be lacking,faltar
to indicate,indicar
to sell,vender
"to remember, remind",acordar
"to want, desire, wish for",desear
"to initiate, start",iniciar
"to emphasize, stand out",destacar
to refer (to),referir
to observe,observar
to be accustomed to,soler
"to grow, increase",crecer
"to choose, elect",elegir
"to show, demonstrate",demostrar
to prepare,preparar
"to be worth, cost",valer
to return (to a place),regresar
to mean,significar
to interest,interesar
to kill,matar
to share,compartir
"to divide, leave",partir
starting,a partir de
"to send, order",mandar
to participate,participar
to fill,llenar
to accompany,acompañar
"to construct, build",construir
"to teach, show",enseñar
to cover,cubrir
to deliver,entregar
to cry,llorar
to comment on,comentar
"guide, show the way",orientar
"to assert, affirm",afirmar
to increase,aumentar
to marry,casar
"to disappear, vanish",desaparecer
"to obligate, force",obligar
"to support, lean on",apoyar
"to remove, take away",quitar
"to answer, reply",contestar
"to cause, provoke",provocar
to depend on,depender
"to abandon, to leave",abandonar
"to set, to fix",fijar
to laugh (at),reír
"to throw, pull",tirar
"to keep, save",guardar
to shout,gritar
to notice,notar
to appear,surgir
to express,expresar
to love,amar
"to wear, dress",vestir
to send,enviar
to stop (moving),parar
"to constitute, consist of",constituir
to generate,generar
to prefer,preferir
to sing,cantar
to propose,proponer
"to throw, launch",lanzar
"to stay, remain",permanecer
to break,romper
"to defend, protect",defender
to take care of,cuidar
to inform,informar
to cut,cortar
"to unite, join",unir
to act,actuar
"to save, rescue",salvar
to apply,aplicar
"to deny, refuse",negar
"to advance, progress",avanzar
"to cost, be hard",costar
"to work, function",funcionar
"to announce, advertise",anunciar
"to gather, meet, collect",reunir
"to have means, dispose",disponer
"to support, hold up",sostener
to visit,visitar
to contain,contener
"to place, position",colocar
to separate,separar
to attempt,pretender
to cross,cruzar
to invite,invitar
to pick up,recoger
"to extend, spread",extender
"to base on, base upon",basar
to worry,preocupar
to demand,exigir
"to improve, get better",mejorar
"to resolve, settle, work out",resolver
"to impose, enforce",imponer
to affect,afectar
to reduce,reducir
to take advantage of,aprovechar
to celebrate,celebrar
to measure,medir
"to wake [up], arouse",despertar
to weigh,pesar
"to confront, face",enfrentar
to correspond with,corresponder
to escape,escapar
"to cause, bring about",causar
to travel,viajar
to surround,rodear
"to acquire, get",adquirir
to move away,alejar
to belong,pertenecer
"to add, gather",agregar
