"to be (essential/permanent)";"ser"
"to be (temporary/location)";"estar"
"to have";"tener"
"to go";"ir"
"to do/make";"hacer"
"to be able to";"poder"
"to say/tell";"decir"
"to give";"dar"
"to know (facts)";"saber"
"to want";"querer"
"to come";"venir"
"to see";"ver"
"to bring";"traer"
"to know (people/places)";"conocer"
"to put/place";"poner"
"to seem";"parecer"
"to follow";"seguir"
"to find";"encontrar"
"to count";"contar"
"to begin";"empezar"
"to understand";"entender"
"to lose";"perder"
"to think";"pensar"
