"id";"word";"answer"
"1";"down / underneath";"abajo"
"2";"access";"acceso"
"3";"August";"agosto"
"4";"mayor [M]";"alcalde"
"5";"food / nourishment";"alimentos"
"6";"height";"altura"
"7";"app / application";"aplicación"
"8";"that";"aquello"
"9";"he/she/it made sure / ensured / assured";"aseguró"
"10";"matters / issues";"asuntos"
"11";"authors";"autores"
"12";"arms";"brazos"
"13";"coffee";"café"
"14";"chapter";"capítulo"
"15";"citizens";"ciudadanos"
"16";"cities";"ciudades"
"17";"clear [F]";"clara"
"18";"committee";"comité"
"19";"confidence";"confianza"
"20";"to tell";"contar"
"21";"critique / critical [F]";"crítica"
"22";"which / what [within a question]";"cuál"
"23";"left [participle]";"dejado"
"24";"lawsuit";"demanda"
"25";"directly";"directamente"
"26";"speech";"discurso"
"27";"executive";"ejecutivo"
"28";"to understand";"entender"
"29";"scene";"escena"
"30";"to wait";"esperar"
"31";"wife";"esposa"
"32";"you are";"estás"
"33";"he/she/it is [subjunctive]";"esté"
"34";"exposition / exhibition / show";"exposición"
"35";"February";"febrero"
"36";"endings / final [pl]";"finales"
"37";"frequency";"frecuencia"
"38";"functions";"funciones"
"39";"physical [F] / physics";"física"
"40";"management";"gestión"
"41";"grave / serious";"grave"
"42";"guard / watch";"guardia"
"43";"he/she/it likes";"gusta"
"44";"taste / flavor";"gusto"
"45";"hotel";"hotel"
"46";"industrial";"industrial"
"47";"international [pl]";"internacionales"
"48";"intervention";"intervención"
"49";"island";"isla"
"50";"players";"jugadores"
"51";"board / he/she/it picks up";"junta"
"52";"laws";"leyes"
"53";"call";"llamada"
"54";"to achieve";"lograr"
"55";"places";"lugares"
"56";"Monday";"lunes"
"57";"master / teacher";"maestro"
"58";"husband";"marido"
"59";"moral";"moral"
"60";"movements";"movimientos"
"61";"needs";"necesidades"
"62";"normal";"normal"
"63";"nine";"nueve"
"64";"goals / objectives";"objetivos"
"65";"palace";"palacio"
"66";"danger";"peligro"
"67";"shame / pity";"pena"
"68";"thought / thinking";"pensamiento"
"69";"little / small / young [M] / little ones";"pequeños"
"70";"to lose";"perder"
"71";"characters";"personajes"
"72";"feet";"pies"
"73";"they could";"podrían"
"74";"he/she/it asked";"preguntó"
"75";"pressure";"presión"
"76";"professionals / professional [pl]";"profesionales"
"77";"property";"propiedad"
"78";"protection";"protección"
"79";"people";"pueblos"
"80";"pages";"páginas"
"81";"reference";"referencia"
"82";"representatives";"representantes"
"83";"salt / you get out [imperative]";"sal"
"84";"he/she/it came out / went out";"salió"
"85";"site / place";"sitio"
"86";"he/she/it supposes";"supone"
"87";"phone";"teléfono"
"88";"season";"temporada"
"89";"that he/she/it has / turns [subjunctive] / you have [imperative]";"tenga"
"90";"totally";"totalmente"
"91";"your [pl]";"tus"
"92";"techniques / technical [F, pl]";"técnicas"
"93";"technical [M]";"técnico"
"94";"term / end / word";"término"
"95";"twenty";"veinte"
"96";"sale";"venta"
"97";"Summer";"verano"
"98";"Friday";"viernes"
"99";"vision";"visión"
"100";"last [F, pl]";"últimas"
