"id";"word";"answer"
"1";"I measure {e→i}";"[yo] mido"
"2";"you measure [sing, inf] {e→i}";"[tú] mides"
"3";"he competes {e→i}";"[él] compite"
"4";"she competes {e→i}";"[ella] compite"
"5";"you close [sing, formal] {e→ie}";"[usted] cierra"
"6";"we close {e→ie}";"[nosotros] cerramos"
"7";"you warm up [pl] {e→ie}";"[ustedes] calientan"
"8";"they warm up {e→ie}";"[ellos] calientan"
"9";"I wake up {e→ie}";"[yo] despierto"
"10";"you wake up [sing, inf] {e→ie}";"[tú] despiertas"
"11";"he sits {e→ie}";"[él] sienta"
"12";"she sits {e→ie}";"[ella] sienta"
"13";"you try [sing, formal] {o→ue}";"[usted] prueba"
"14";"we try {o→ue}";"[nosotros] probamos"
"15";"you eat lunch [pl] {o→ue; c/z}";"[ustedes] almuerzan"
"16";"they eat lunch {o→ue; c/z}";"[ellos] almuerzan"
"17";"I hang {o→ue; g/gu}";"[yo] cuelgo"
"18";"you hang [sing, inf] {o→ue; g/gu}";"[tú] cuelgas"
"19";"he fries {accent}";"[él] fríe"
"20";"she fries {accent}";"[ella] fríe"
"21";"you get dressed [sing, formal] {e→i}";"[usted] viste"
"22";"we get dressed {e→i}";"[nosotros] vestimos"
"23";"you obtain/get [pl] {yo; e→ie}";"[ustedes] obtienen"
"24";"they obtain/get {yo; e→ie}";"[ellos] obtienen"
"25";"I sustain/support {yo; e→ie}";"[yo] sostengo"
"26";"you sustain/support [sing, inf] {yo; e→ie}";"[tú] sostienes"
"27";"he maintains {yo; e→ie}";"[él] mantiene"
"28";"she maintains {yo; e→ie}";"[ella] mantiene"
"29";"you entertain [sing, formal] {yo; e→ie}";"[usted] entretiene"
"30";"we entertain {yo; e→ie}";"[nosotros] entretenemos"
"31";"you detain/stop [pl] {yo; e→ie}";"[ustedes] detienen"
"32";"they detain/stop {yo; e→ie}";"[ellos] detienen"
"33";"I contain {yo; e→ie}";"[yo] contengo"
"34";"you contain [sing, inf] {yo; e→ie}";"[tú] contienes"
"35";"he returns {o→ue}";"[él] devuelve"
"36";"she returns {o→ue}";"[ella] devuelve"
"37";"you move [sing, formal] {o→ue}";"[usted] mueve"
"38";"we move {o→ue}";"[nosotros] movemos"
"39";"you smell [pl] {h-ins; o→ue}";"[ustedes] huelen"
"40";"they smell {h-ins; o→ue}";"[ellos] huelen"
"41";"I recommend {e→ie}";"[yo] recomiendo"
"42";"you recommend [sing, inf] {e→ie}";"[tú] recomiendas"
"43";"he plays {u→ue}";"[él] juega"
"44";"she plays {u→ue}";"[ella] juega"
