"id","word","answer"
"176","to use {-ar}","usar"
"177","to use {-ar}","utilizar"
"178","to leave {-ar}","abandonar"
"179","to open {-ir}","abrir"
"180","to end {-ar}","acabar"
"181","to bring over {-ar}","acercar"
"182","to accompany {-ar}","acompañar"
"183","to act {-ar}","actuar"
"184","to go to {-ir}","acudir"
"185","to reach {-ar}","alcanzar"
"186","to analyze {-ar}","analizar"
"187","to announce {-ar}","anunciar"
"188","to apply {-ar}","aplicar"
"189","to provide {-ar}","aportar"
"190","to support {-ar}","apoyar"
"191","to take advantage of {-ar}","aprovechar"
"192","to point out {-ar}","apuntar"
"193","to secure {-ar}","asegurar"
"194","to attend {-ir}","asistir"
"195","to link {-ar}","asociar"
"196","to assume {-ir}","asumir"
"197","to add {-ir}","añadir"
"198","to sing {-ar}","cantar"
"199","to share {-ir}","compartir"
"200","to declare {-ar}","declarar"
"201","to highlight {-ar}","destacar"
"202","to insist {-ir}","insistir"
