"id";"word";"answer"
"1";"Title: The Family Gathering";"La Reunión Familiar"
"2";"I open the window to let fresh air in.";"Abro la ventana para dejar entrar aire fresco."
"3";"You admit that you miss Grandma’s cooking.";"Admites que extrañas la comida de la abuela."
"4";"They attend the family lunch every Sunday.";"Ellos asisten al almuerzo familiar cada domingo."
"5";"We share stories from the week.";"Compartimos historias de la semana."
"6";"She covers the table with a colorful cloth.";"Ella cubre la mesa con un mantel de colores."
"7";"Grandpa turns eighty next month.";"El abuelo cumple ochenta el próximo mes."
"8";"He decides to make a special dessert.";"Él decide hacer un postre especial."
"9";"I describe a funny moment from work.";"Describo un momento chistoso del trabajo."
"10";"We discover an old photo album in a drawer.";"Descubrimos un álbum de fotos viejo en un cajón."
"11";"Later we are going to discuss plans for the celebration.";"Más tarde vamos a discutir los planes para la celebración."
