"id","word","answer"
"1","How do I get to ___?","¿Cómo llego a ___?"
"2","How long will it take to walk there?","¿Cuánto tiempo se hace caminando hasta allá?"
"3","Where is ___?","¿Dónde está ___?"
"4","Is this the right way to ___?","¿Es por aquí para ir a ___?"
"5","Is this the way to ___?","¿Es por aquí para ir a ___?"
"6","Is it close?","¿Está cerca de aquí?"
"7","Is it far?","¿Está muy lejos?"
"8","Could you please write it, please? [sing, inf]","¿Me la puedes escribir, por favor?"
"9","Can you tell me where ___ is? [sing, inf]","¿Me puedes decir dónde está ___?"
"10","How far is ___?","¿Qué tan lejos está ___?"
"11","How far?","¿Qué tan lejos?"
"12","Walk forward and cross the street. [sing, inf]","Camina derecho y cruza la calle."
"13","Walk along the sidewalk two blocks. [sing, inf]","Camina por la banqueta dos cuadras."
"14","Cross the bridge and go straight. [sing, inf]","Cruza el puente y sigue todo derecho."
"15","Excuse me, can you repeat that? [sing, inf]","Disculpa, ¿me puedes repetir eso?"
"16","Turn right after the traffic light. [sing, inf]","Dobla a la derecha después del semáforo."
"17","Turn right at the traffic light near the hospital. [sing, inf]","Dobla a la derecha en el semáforo cerca del hospital."
"18","Turn left at the avenue. [sing, inf]","Dobla a la izquierda en la avenida."
"19","Turn left at the corner please. [sing, inf]","Dobla a la izquierda en la esquina, por favor."
"20","The hospital is near the park.","El hospital está cerca del parque."
"21","The place is next to the church.","El lugar está al lado de la iglesia."
"22","The restaurant is on the corner of the plaza.","El restaurante está en la esquina de la plaza."
"23","It is in front of the school.","Está enfrente de la escuela."
"24","I am looking for ___.","Estoy buscando ___."
"25","The station is next to the bridge.","La estación está al lado del puente."
"26","The church is behind the market.","La iglesia está detrás del mercado."
"27","The store is around the corner.","La tienda está a la vuelta de la esquina."
"28","It is not far, only one block.","No está lejos, solo una cuadra."
"29","Go straight two blocks. [sing, inf]","Sigue todo derecho dos cuadras."
"30","Continue straight ahead. [sing, inf]","Sigue todo derecho."
"31","Take the next street on the left. [sing, inf]","Toma la siguiente calle a la izquierda."
"32","Go north on this avenue. [sing, inf]","Ve al norte por esta avenida."
"33","Go behind the building. [sing, inf]","Ve detrás del edificio."
