"id","word","answer"
"1","Help!","¡Socorro!"
"2","Stop!","¡Pare!"
"3","Go away!","¡Váyase!"
"4","Thief!","¡Ladrón!"
"5","Fire!","¡Fuego!"
"6","Watch out.","¡Cuidado!"
"7","Call the police.","¡Llame a la policía!"
"8","Call a doctor.","¡Llame a un médico!"
"9","Call an ambulance!","¡Llame a una ambulancia!"
"10","It's an emergency.","Es una emergencia."
"11","Could you help me please?","¿Me puede ayudar, por favor?"
"12","There's been an accident.","Ha habido un accidente."
"13","I'm lost.","Estoy perdido."
"14","Where are the toilets?","¿Dónde están los baños?"
"15","Is it safe at night?","¿Es seguro de noche?"
"16","Is it safe for foreigners?","¿Es seguro para los extranjeros?"
"17","Is it safe for gay people?","¿Es seguro para la gente gay?"
"18","Where's the police station?","¿Dónde está la estación de policía?"
"19","I've lost my wallet.","Perdí mi billetera."
"20","My bag was stolen.","Mi bolso fue robado."
"21","My money was stolen.","Mi dinero fue robado."
"22","I need to contact my consulate.","Necesito ponerme en contacto con mi consulado."
"23","I've been robbed.","Me han robado."
"24","I have a prescription for this drug.","Tengo receta para esta medicina."
"25","Where's the nearest night pharmacy?","¿Dónde está la farmacia de guardia más cercana?"
"26","Where's the nearest clinic?","¿Dónde está la clinica más cercana?"
"27","I need a doctor who speaks English.","Necesito un doctor que hable inglés."
"28","I'm sick.","Estoy enfermo."
"29","My friend is sick.","Mi amigo está enfermo."
"30","It hurts here.","Me duele aquí."
"31","I've been vomiting.","He estado vomitando."
"32","I'm dehydrated.","Estoy deshidratado."
"33","I'm all hot and cold.","Tengo escalofríos."
"34","I feel dizzy.","Me siento mareado."
"35","I feel nauseous.","Me siento con náuseas."
"36","I have pre diabetes.","Tengo prediabetes."
"37","I need something for a fever.","Necesito algo para la fiebre."
"38","How many times a day?","¿Cuántas veces al día?"
"39","Will it make me sleepy?","¿Me dará sueño?"
"40","I need new glasses.","Necesito lentes nuevos."
