"id";"word";"answer"
"1";"Sometimes, I want to talk with someone but I prefer to travel alone with my books and my notebooks.";"A veces, quiero hablar con alguien pero prefiero viajar sola con mis libros y mis cuadernos."
"2";"Near me, a woman sleeps.";"Cerca de mí, una mujer duerme."
"3";"The train arrives on time as always.";"El tren llega a tiempo como siempre."
"4";"She rests completely.";"Ella descansa completamente."
"5";"They have many friends.";"Ellos tienen muchos amigos."
"6";"It is impossible to know.";"Es imposible saber."
"7";"They talk and talk.";"Hablan y hablan."
"8";"The news is interesting today; he reads with much interest.";"Las noticias son interesantes hoy; él lee con mucho interés."
"9";"It arrives at four twenty-six.";"Llega a las cuatro y veintiséis."
"10";"Other people talk on the telephone.";"Otras personas hablan por teléfono."
"11";"I think that she has sweet dreams.";"Pienso que tiene sueños dulces."
"12";"I board the train with some people and travel to the city.";"Subo al tren con algunas personas y viajo a la ciudad."
"13";"I try to listen to the conversations.";"Trato de escuchar las conversaciones."
"14";"A man at my side writes love letters.";"Un hombre a mi lado escribe cartas de amor."
"15";"A man reads a newspaper.";"Un hombre lee un periódico."
"16";"A child shouts and then smiles.";"Un niño grita y después sonríe."
"17";"Is he interested in sports or business or international events?";"¿Está interesado en los deportes o los negocios o los eventos internacionales?"
"18";"What does he read?";"¿Qué lee?"
